date,pe,pb,div_yield
2015-11-30,21.5,3.11,1.47
2015-12-01,21.58,3.13,1.46
2015-12-02,21.53,3.12,1.47
2015-12-03,21.35,3.09,1.48
2015-12-04,21.14,3.06,1.5
2015-12-07,21.1,3.06,1.5
2015-12-08,20.93,3.03,1.51
2015-12-09,20.66,2.99,1.53
2015-12-10,20.85,3.02,1.52
2015-12-11,20.65,2.99,1.55
2015-12-14,20.77,3.0,1.54
2015-12-15,20.9,3.02,1.53
2015-12-16,21.03,3.04,1.52
2015-12-17,21.29,3.08,1.5
2015-12-18,21.11,3.05,1.52
2015-12-21,21.3,3.08,1.5
2015-12-22,21.18,3.06,1.51
2015-12-23,21.38,3.09,1.5
2015-12-24,21.37,3.09,1.5
2015-12-28,21.52,3.11,1.49
2015-12-29,21.54,3.12,1.49
2015-12-30,21.46,3.1,1.49
2015-12-31,21.6,3.12,1.48
2016-01-01,21.67,3.13,1.48
2016-01-04,21.24,3.07,1.51
2016-01-05,21.25,3.07,1.51
2016-01-06,21.14,3.06,1.52
2016-01-07,20.64,2.98,1.55
2016-01-08,20.75,3.0,1.54
2016-01-11,20.62,2.98,1.55
2016-01-12,20.48,2.96,1.56
2016-01-13,20.59,2.98,1.56
2016-01-14,20.51,2.97,1.56
2016-01-15,20.19,2.92,1.59
2016-01-18,19.89,2.88,1.61
2016-01-19,20.11,2.91,1.59
2016-01-20,19.77,2.86,1.62
2016-01-21,19.65,2.85,1.63
2016-01-22,20.02,2.9,1.6
2016-01-25,20.06,2.91,1.59
2016-01-27,20.06,2.91,1.59
2016-01-28,19.86,2.9,1.6
2016-01-29,20.24,2.96,1.57
2016-02-01,20.23,2.96,1.57
2016-02-02,20.16,2.91,1.59
2016-02-03,19.9,2.88,1.61
2016-02-04,19.99,2.89,1.6
2016-02-05,20.26,2.93,1.58
2016-02-08,19.98,2.89,1.6
2016-02-09,19.71,2.86,1.62
2016-02-10,19.58,2.82,1.64
2016-02-11,18.95,2.73,1.7
2016-02-12,18.96,2.73,1.7
2016-02-15,19.51,2.81,1.65
2016-02-16,19.17,2.76,1.68
2016-02-17,19.32,2.78,1.67
2016-02-18,19.56,2.81,1.65
2016-02-19,19.61,2.81,1.65
2016-02-22,19.69,2.83,1.64
2016-02-23,19.36,2.78,1.67
2016-02-24,19.11,2.74,1.69
2016-02-25,18.99,2.72,1.7
2016-02-26,19.17,2.75,1.69
2016-02-29,19.08,2.74,1.7
2016-03-01,19.72,2.83,1.64
2016-03-02,20.09,2.88,1.61
2016-03-03,20.36,2.92,1.59
2016-03-04,20.41,2.93,1.59
2016-03-08,20.38,2.92,1.59
2016-03-09,20.49,2.94,1.58
2016-03-10,20.38,2.92,1.59
2016-03-11,20.44,2.93,1.58
2016-03-14,20.52,2.94,1.58
2016-03-15,20.31,2.91,1.59
2016-03-16,20.38,2.92,1.59
2016-03-17,20.44,2.93,1.58
2016-03-18,20.67,2.96,1.56
2016-03-21,20.94,3.0,1.54
2016-03-22,20.98,3.01,1.54
2016-03-23,20.99,3.01,1.54
2016-03-28,20.71,2.97,1.56
2016-03-29,20.67,2.96,1.56
2016-03-30,21.03,3.01,1.53
2016-03-31,21.06,3.02,1.53
2016-04-01,21.34,3.15,1.5
2016-04-04,21.46,3.16,1.49
2016-04-05,21.05,3.1,1.52
2016-04-06,21.09,3.11,1.52
2016-04-07,20.91,3.08,1.53
2016-04-08,20.95,3.09,1.52
2016-04-11,21.25,3.13,1.5
2016-04-12,21.36,3.15,1.49
2016-04-13,21.73,3.2,1.47
2016-04-18,21.87,3.23,1.46
2016-04-20,21.79,3.23,1.46
2016-04-21,21.79,3.23,1.46
2016-04-22,21.77,3.19,1.42
2016-04-25,21.61,3.17,1.42
2016-04-26,21.81,3.21,1.41
2016-04-27,21.86,3.22,1.4
2016-04-28,21.52,3.17,1.43
2016-04-29,21.41,3.17,1.42
2016-05-02,21.28,3.17,1.43
2016-05-03,21.12,3.14,1.44
2016-05-04,20.89,3.12,1.45
2016-05-05,20.96,3.13,1.44
2016-05-06,20.93,3.13,1.44
2016-05-09,21.24,3.18,1.42
2016-05-10,21.29,3.19,1.42
2016-05-11,21.2,3.18,1.42
2016-05-12,21.35,3.2,1.41
2016-05-13,21.13,3.16,1.43
2016-05-16,21.47,3.17,1.42
2016-05-17,21.55,3.18,1.42
2016-05-18,21.51,3.18,1.42
2016-05-19,21.27,3.14,1.44
2016-05-20,21.13,3.12,1.44
2016-05-23,21.07,3.11,1.45
2016-05-24,21.37,3.12,1.45
2016-05-25,22.18,3.19,1.41
2016-05-26,22.51,3.24,1.39
2016-05-27,22.68,3.28,1.37
2016-05-30,22.89,3.29,1.37
2016-05-31,22.84,3.28,1.37
2016-06-01,22.89,3.29,1.37
2016-06-02,23.08,3.31,1.36
2016-06-03,23.08,3.31,1.37
2016-06-06,23.02,3.3,1.37
2016-06-07,23.01,3.32,1.36
2016-06-08,23.05,3.32,1.36
2016-06-09,22.87,3.3,1.37
2016-06-10,22.78,3.27,1.34
2016-06-13,22.61,3.24,1.35
2016-06-14,22.61,3.24,1.35
2016-06-15,22.87,3.28,1.33
2016-06-16,22.71,3.26,1.34
2016-06-17,22.78,3.25,1.34
2016-06-20,22.96,3.27,1.33
2016-06-21,22.92,3.27,1.33
2016-06-22,22.89,3.26,1.33
2016-06-23,23.05,3.29,1.32
2016-06-24,22.57,3.19,1.35
2016-06-27,22.62,3.19,1.34
2016-06-28,22.72,3.21,1.34
2016-06-29,22.94,3.24,1.32
2016-06-30,23.18,3.27,1.31
2016-07-01,23.33,3.29,1.3
2016-07-04,23.46,3.31,1.29
2016-07-05,23.38,3.3,1.3
2016-07-07,23.38,3.3,1.3
2016-07-08,23.35,3.3,1.3
2016-07-11,23.75,3.35,1.28
2016-07-12,23.89,3.37,1.27
2016-07-13,23.87,3.37,1.27
2016-07-14,24.06,3.39,1.26
2016-07-15,24.01,3.38,1.27
2016-07-18,23.9,3.37,1.27
2016-07-19,23.96,3.38,1.27
2016-07-20,24.08,3.39,1.26
2016-07-21,23.95,3.38,1.27
2016-07-22,24.08,3.39,1.26
2016-07-25,24.34,3.37,1.27
2016-07-26,24.23,3.33,1.32
2016-07-27,24.32,3.34,1.31
2016-07-28,24.38,3.35,1.31
2016-07-29,24.32,3.33,1.31
2016-08-01,24.33,3.33,1.31
2016-08-02,24.27,3.32,1.31
2016-08-03,24.01,3.29,1.33
2016-08-04,24.05,3.29,1.33
2016-08-05,24.44,3.34,1.3
2016-08-08,24.54,3.36,1.3
2016-08-09,24.44,3.34,1.3
2016-08-10,24.13,3.3,1.32
2016-08-11,24.18,3.28,1.31
2016-08-12,24.41,3.3,1.3
2016-08-16,24.36,3.29,1.3
2016-08-17,24.34,3.29,1.3
2016-08-18,24.47,3.31,1.29
2016-08-19,24.47,3.27,1.3
2016-08-22,24.35,3.26,1.3
2016-08-23,24.46,3.25,1.3
2016-08-24,24.54,3.26,1.3
2016-08-25,24.38,3.24,1.31
2016-08-26,24.29,3.24,1.27
2016-08-29,24.37,3.24,1.28
2016-08-30,24.73,3.29,1.27
2016-08-31,24.83,3.3,1.26
2016-09-01,24.8,3.3,1.26
2016-09-02,24.89,3.31,1.26
2016-09-06,25.27,3.36,1.24
2016-09-07,25.22,3.34,1.26
2016-09-08,25.32,3.35,1.26
2016-09-09,25.08,3.32,1.27
2016-09-12,24.61,3.26,1.29
2016-09-14,24.68,3.27,1.29
2016-09-15,24.69,3.27,1.29
2016-09-16,24.79,3.28,1.31
2016-09-19,24.87,3.29,1.31
2016-09-20,24.8,3.28,1.31
2016-09-21,24.84,3.28,1.31
2016-09-22,25.16,3.31,1.3
2016-09-23,24.98,3.3,1.3
2016-09-26,24.7,3.26,1.31
2016-09-27,24.65,3.26,1.32
2016-09-28,24.74,3.27,1.32
2016-09-29,24.16,3.2,1.34
2016-09-30,24.34,3.28,1.33
2016-10-03,24.79,3.33,1.3
2016-10-04,24.94,3.35,1.3
2016-10-05,24.39,3.34,1.3
2016-10-06,24.48,3.33,1.31
2016-10-07,24.44,3.32,1.31
2016-10-10,24.33,3.32,1.31
2016-10-13,24.11,3.27,1.33
2016-10-14,23.94,3.27,1.33
2016-10-17,23.96,3.25,1.34
2016-10-18,24.2,3.31,1.31
2016-10-19,24.36,3.31,1.31
2016-10-20,24.42,3.32,1.31
2016-10-21,24.21,3.32,1.31
2016-10-24,24.2,3.32,1.31
2016-10-25,24.18,3.32,1.31
2016-10-26,24.22,3.29,1.32
2016-10-27,24.15,3.28,1.32
2016-10-28,24.26,3.3,1.32
2016-10-30,24.25,3.29,1.32
2016-11-01,24.26,3.3,1.32
2016-11-02,23.92,3.25,1.34
2016-11-03,23.8,3.23,1.34
2016-11-04,23.57,3.21,1.35
2016-11-07,23.55,3.23,1.34
2016-11-08,23.43,3.25,1.34
2016-11-09,23.28,3.21,1.36
2016-11-10,23.48,3.24,1.34
2016-11-11,22.76,3.15,1.38
2016-11-15,21.98,3.09,1.42
2016-11-16,22.24,3.1,1.41
2016-11-17,22.11,3.09,1.42
2016-11-18,22.06,3.09,1.42
2016-11-21,21.72,3.03,1.45
2016-11-22,21.94,3.06,1.43
2016-11-23,22.06,3.08,1.42
2016-11-24,21.82,3.06,1.43
2016-11-25,22.09,3.12,1.4
2016-11-28,22.15,3.13,1.4
2016-11-29,22.04,3.14,1.4
2016-11-30,22.23,3.17,1.38
2016-12-01,22.14,3.15,1.39
2016-12-02,21.85,3.11,1.41
2016-12-05,21.95,3.13,1.4
2016-12-06,22.16,3.14,1.4
2016-12-07,21.9,3.12,1.4
2016-12-08,22.46,3.18,1.38
2016-12-09,22.48,3.18,1.38
2016-12-12,22.06,3.15,1.39
2016-12-13,22.16,3.16,1.39
2016-12-14,22.04,3.14,1.4
2016-12-15,21.97,3.13,1.4
2016-12-16,21.95,3.13,1.4
2016-12-19,21.86,3.11,1.41
2016-12-20,21.78,3.1,1.41
2016-12-21,21.72,3.09,1.42
2016-12-22,21.69,3.06,1.43
2016-12-23,21.86,3.06,1.43
2016-12-26,21.77,3.02,1.45
2016-12-27,22.13,3.07,1.43
2016-12-28,22.15,3.08,1.43
2016-12-29,22.35,3.1,1.41
2016-12-30,22.4,3.13,1.4
2017-01-02,22.55,3.13,1.4
2017-01-03,22.61,3.14,1.4
2017-01-04,22.46,3.14,1.4
2017-01-05,22.72,3.18,1.39
2017-01-06,22.64,3.17,1.39
2017-01-09,22.62,3.16,1.39
2017-01-10,22.93,3.19,1.38
2017-01-11,23.0,3.22,1.37
2017-01-12,23.07,3.23,1.36
2017-01-13,23.06,3.23,1.36
2017-01-16,23.11,3.24,1.36
2017-01-17,23.01,3.23,1.36
2017-01-18,23.02,3.24,1.36
2017-01-19,23.07,3.25,1.35
2017-01-20,22.96,3.21,1.37
2017-01-23,23.06,3.23,1.36
2017-01-24,23.24,3.27,1.35
2017-01-25,23.58,3.31,1.33
2017-01-27,23.62,3.33,1.32
2017-01-30,23.63,3.33,1.32
2017-01-31,23.46,3.3,1.33
2017-02-01,23.9,3.36,1.31
2017-02-02,23.69,3.37,1.31
2017-02-03,23.58,3.37,1.31
2017-02-06,23.74,3.4,1.3
2017-02-07,23.61,3.38,1.3
2017-02-08,23.61,3.39,1.3
2017-02-09,23.64,3.39,1.3
2017-02-10,23.63,3.39,1.3
2017-02-13,23.47,3.4,1.3
2017-02-14,23.34,3.39,1.3
2017-02-15,23.11,3.36,1.31
2017-02-16,23.38,3.39,1.3
2017-02-17,23.42,3.4,1.29
2017-02-20,23.55,3.43,1.28
2017-02-21,23.65,3.44,1.28
2017-02-22,23.61,3.44,1.28
2017-02-23,23.63,3.44,1.28
2017-02-27,23.49,3.43,1.29
2017-02-28,23.43,3.43,1.29
2017-03-01,23.58,3.45,1.28
2017-03-02,23.36,3.42,1.29
2017-03-03,23.35,3.42,1.29
2017-03-06,23.52,3.45,1.28
2017-03-07,23.48,3.44,1.29
2017-03-08,23.42,3.43,1.29
2017-03-09,23.42,3.43,1.29
2017-03-10,23.42,3.43,1.29
2017-03-14,23.82,3.49,1.27
2017-03-15,23.84,3.49,1.27
2017-03-16,24.05,3.52,1.26
2017-03-17,24.06,3.53,1.26
2017-03-20,23.99,3.52,1.26
2017-03-21,23.95,3.51,1.26
2017-03-22,23.72,3.48,1.28
2017-03-23,23.88,3.5,1.27
2017-03-24,23.93,3.51,1.27
2017-03-27,23.77,3.48,1.27
2017-03-28,23.93,3.51,1.27
2017-03-29,24.02,3.52,1.26
2017-03-30,24.1,3.53,1.26
2017-03-31,23.81,3.5,1.27
2017-04-03,23.96,3.52,1.26
2017-04-05,24.06,3.53,1.25
2017-04-06,24.07,3.53,1.25
2017-04-07,23.93,3.51,1.26
2017-04-10,23.92,3.51,1.26
2017-04-11,24.06,3.53,1.25
2017-04-12,23.99,3.52,1.26
2017-04-13,23.87,3.51,1.26
2017-04-17,23.84,3.5,1.27
2017-04-18,23.72,3.48,1.27
2017-04-19,23.74,3.49,1.27
2017-04-20,23.83,3.5,1.27
2017-04-21,23.8,3.49,1.27
2017-04-24,24.08,3.53,1.25
2017-04-25,24.33,3.57,1.24
2017-04-26,24.42,3.58,1.24
2017-04-27,24.38,3.58,1.24
2017-04-28,24.3,3.57,1.24
2017-05-02,24.34,3.57,1.24
2017-05-03,24.34,3.57,1.24
2017-05-04,24.45,3.59,1.23
2017-05-05,24.23,3.56,1.24
2017-05-08,24.31,3.57,1.24
2017-05-09,24.35,3.57,1.24
2017-05-10,24.6,3.61,1.23
2017-05-11,24.64,3.62,1.22
2017-05-12,24.57,3.61,1.23
2017-05-15,24.7,3.63,1.22
2017-05-16,24.86,3.65,1.21
2017-05-17,25.78,3.65,1.21
2017-05-18,25.47,3.61,1.23
2017-05-19,25.44,3.6,1.23
2017-05-22,24.98,3.6,1.23
2017-05-23,24.81,3.58,1.24
2017-05-24,24.69,3.56,1.24
2017-05-25,24.86,3.61,1.23
2017-05-26,24.96,3.64,1.21
2017-05-29,24.93,3.64,1.21
2017-05-30,25.0,3.65,1.21
2017-05-31,25.01,3.64,1.2
2017-06-01,24.99,3.64,1.2
2017-06-02,25.09,3.65,1.2
2017-06-05,25.14,3.67,1.2
2017-06-06,25.0,3.65,1.2
2017-06-07,25.12,3.66,1.2
2017-06-08,25.09,3.66,1.2
2017-06-09,25.06,3.67,1.19
2017-06-12,24.9,3.65,1.2
2017-06-13,25.15,3.65,1.2
2017-06-14,25.16,3.65,1.2
2017-06-15,25.07,3.64,1.21
2017-06-16,24.61,3.59,1.13
2017-06-19,25.03,3.61,1.13
2017-06-20,25.03,3.61,1.13
2017-06-21,24.82,3.61,1.13
2017-06-22,24.95,3.6,1.13
2017-06-23,24.79,3.57,1.14
2017-06-27,24.62,3.55,1.14
2017-06-28,24.59,3.54,1.15
2017-06-29,24.62,3.55,1.14
2017-06-30,24.68,3.56,1.14
2017-07-03,24.94,3.59,1.13
2017-07-04,24.93,3.59,1.13
2017-07-05,25.01,3.6,1.13
2017-07-06,25.11,3.62,1.12
2017-07-07,25.09,3.61,1.13
2017-07-10,25.36,3.65,1.11
2017-07-11,25.36,3.65,1.11
2017-07-12,25.47,3.67,1.11
2017-07-13,25.66,3.7,1.1
2017-07-14,25.62,3.7,1.1
2017-07-17,25.67,3.71,1.1
2017-07-18,25.58,3.6,1.09
2017-07-19,25.79,3.58,1.04
2017-07-20,25.72,3.57,1.04
2017-07-21,25.82,3.58,1.04
2017-07-24,25.94,3.6,1.03
2017-07-25,25.95,3.6,1.03
2017-07-26,26.05,3.62,1.03
2017-07-27,26.02,3.62,1.03
2017-07-28,26.04,3.54,0.99
2017-07-31,26.18,3.56,0.99
2017-08-01,26.29,3.57,0.99
2017-08-02,26.17,3.56,0.99
2017-08-03,26.09,3.54,0.99
2017-08-04,26.22,3.61,0.99
2017-08-07,26.35,3.62,0.99
2017-08-08,26.15,3.58,1.0
2017-08-09,25.91,3.55,1.01
2017-08-10,25.58,3.51,1.02
2017-08-11,25.35,3.47,1.02
2017-08-14,25.62,3.51,1.01
2017-08-16,25.89,3.54,1.0
2017-08-17,25.9,3.55,1.0
2017-08-18,25.77,3.52,1.0
2017-08-21,25.72,3.48,1.01
2017-08-22,25.94,3.49,1.01
2017-08-23,26.17,3.52,1.0
2017-08-24,26.21,3.52,0.98
2017-08-28,26.38,3.54,0.98
2017-08-29,26.07,3.5,0.99
2017-08-30,26.33,3.53,0.98
2017-08-31,26.4,3.54,0.98
2017-09-01,26.77,3.57,0.97
2017-09-04,26.6,3.55,0.98
2017-09-05,26.76,3.56,0.97
2017-09-06,26.68,3.55,0.97
2017-09-07,26.73,3.56,0.97
2017-09-08,26.71,3.54,0.98
2017-09-11,26.92,3.56,0.97
2017-09-12,27.08,3.58,0.96
2017-09-13,27.04,3.58,0.96
2017-09-14,27.07,3.58,0.96
2017-09-15,27.06,3.57,0.97
2017-09-18,27.23,3.6,0.97
2017-09-19,27.22,3.6,0.97
2017-09-20,27.2,3.59,0.97
2017-09-21,27.13,3.58,0.97
2017-09-22,26.68,3.52,0.99
2017-09-25,26.42,3.49,1.0
2017-09-26,26.43,3.49,1.0
2017-09-27,26.04,3.44,1.01
2017-09-28,26.13,3.45,1.01
2017-09-29,26.32,3.33,1.17
2017-10-03,26.52,3.36,1.16
2017-10-04,26.66,3.37,1.15
2017-10-05,26.61,3.37,1.15
2017-10-06,26.85,3.39,1.14
2017-10-09,26.87,3.4,1.14
2017-10-10,26.96,3.41,1.14
2017-10-11,26.86,3.4,1.14
2017-10-12,27.16,3.43,1.13
2017-10-13,27.33,3.45,1.12
2017-10-16,27.46,3.44,1.11
2017-10-17,27.45,3.45,1.11
2017-10-18,27.38,3.44,1.11
2017-10-19,27.21,3.42,1.12
2017-10-23,27.3,3.43,1.12
2017-10-24,27.34,3.44,1.12
2017-10-25,27.56,3.47,1.11
2017-10-26,27.67,3.48,1.1
2017-10-27,27.64,3.48,1.1
2017-10-30,27.8,3.5,1.09
2017-10-31,27.44,3.48,1.07
2017-11-01,27.54,3.52,1.06
2017-11-02,27.69,3.52,1.06
2017-11-03,27.9,3.53,1.06
2017-11-06,27.85,3.53,1.06
2017-11-07,27.58,3.49,1.07
2017-11-08,27.44,3.47,1.08
2017-11-09,27.44,3.48,1.07
2017-11-10,27.48,3.48,1.07
2017-11-13,27.13,3.45,1.08
2017-11-14,27.03,3.44,1.09
2017-11-15,26.83,3.41,1.1
2017-11-16,27.09,3.44,1.09
2017-11-17,27.31,3.47,1.08
2017-11-20,27.35,3.47,1.07
2017-11-21,27.36,3.48,1.07
2017-11-22,27.63,3.49,1.07
2017-11-23,27.68,3.49,1.07
2017-11-24,27.8,3.5,1.07
2017-11-27,27.83,3.51,1.06
2017-11-28,27.85,3.5,1.07
2017-11-29,27.82,3.5,1.07
2017-11-30,27.48,3.46,1.1
2017-12-01,27.2,3.42,1.11
2017-12-04,27.22,3.42,1.11
2017-12-05,27.2,3.42,1.11
2017-12-06,26.99,3.39,1.12
2017-12-07,27.33,3.44,1.1
2017-12-08,27.6,3.47,1.09
2017-12-11,27.76,3.49,1.09
2017-12-12,27.53,3.46,1.09
2017-12-13,27.39,3.44,1.1
2017-12-14,27.52,3.46,1.1
2017-12-15,27.74,3.49,1.09
2017-12-18,27.91,3.51,1.08
2017-12-19,28.14,3.54,1.07
2017-12-20,28.1,3.53,1.07
2017-12-21,28.11,3.53,1.07
2017-12-22,28.24,3.55,1.07
2017-12-26,28.35,3.56,1.06
2017-12-27,28.23,3.55,1.07
