date,pe,pb,div_yield
2015-11-30,42.61,6.46,0.77
2015-12-01,42.3,6.41,0.77
2015-12-02,42.29,6.41,0.77
2015-12-03,41.87,6.34,0.78
2015-12-04,41.4,6.27,0.79
2015-12-07,41.31,6.26,0.79
2015-12-08,41.25,6.25,0.79
2015-12-09,40.53,6.14,0.81
2015-12-10,40.62,6.15,0.8
2015-12-11,39.91,6.05,0.82
2015-12-14,40.01,6.06,0.82
2015-12-15,40.61,6.15,0.8
2015-12-16,40.37,6.12,0.81
2015-12-17,40.94,6.2,0.8
2015-12-18,40.59,6.15,0.8
2015-12-21,40.97,6.21,0.8
2015-12-22,40.69,6.16,0.8
2015-12-23,40.75,6.17,0.8
2015-12-24,40.88,6.19,0.8
2015-12-28,41.34,6.26,0.79
2015-12-29,41.54,6.29,0.79
2015-12-30,41.4,6.27,0.79
2015-12-31,41.47,6.28,0.79
2016-01-01,41.84,6.34,0.78
2016-01-04,40.91,6.2,0.8
2016-01-05,40.82,6.18,0.8
2016-01-06,40.32,6.11,0.81
2016-01-07,38.81,5.88,0.84
2016-01-08,38.91,5.89,0.84
2016-01-11,38.95,5.9,0.84
2016-01-12,38.79,5.88,0.84
2016-01-13,39.17,5.93,0.83
2016-01-14,38.61,5.85,0.85
2016-01-15,37.9,5.74,0.86
2016-01-18,37.34,5.66,0.87
2016-01-19,37.81,5.73,0.86
2016-01-20,37.19,5.63,0.88
2016-01-21,36.47,5.52,0.9
2016-01-22,37.9,5.74,0.86
2016-01-25,37.62,5.7,0.87
2016-01-27,37.48,5.7,0.87
2016-01-28,37.32,5.68,0.87
2016-01-29,38.05,5.79,0.85
2016-02-01,37.84,5.76,0.86
2016-02-02,37.26,5.69,0.87
2016-02-03,36.63,5.59,0.89
2016-02-04,36.73,5.61,0.88
2016-02-05,37.32,5.71,0.87
2016-02-08,36.61,5.65,0.88
2016-02-09,35.98,5.55,0.89
2016-02-10,35.52,5.48,0.9
2016-02-11,34.34,5.29,0.94
2016-02-12,34.87,5.38,0.92
2016-02-15,31.3,5.63,0.88
2016-02-16,30.7,5.52,0.9
