date,pe,pb,div_yield
2020-12-01,28.25,2.48,0.42
2020-12-02,27.91,2.45,0.43
2020-12-03,27.9,2.45,0.43
2020-12-04,28.47,2.5,0.42
2020-12-07,28.62,2.51,0.42
2020-12-08,29.12,2.54,0.41
2020-12-09,29.55,2.58,0.4
2020-12-10,29.36,2.56,0.41
2020-12-11,29.45,2.57,0.41
2020-12-14,29.59,2.58,0.4
2020-12-15,29.53,2.58,0.4
2020-12-16,29.54,2.58,0.4
2020-12-17,29.68,2.59,0.4
2020-12-18,29.56,2.58,0.4
2020-12-21,28.35,2.47,0.42
2020-12-22,28.51,2.49,0.42
2020-12-23,28.76,2.51,0.41
2020-12-24,29.26,2.55,0.41
2020-12-28,29.72,2.59,0.4
2020-12-29,30.14,2.63,0.4
2020-12-30,30.12,2.63,0.4
2020-12-31,30.09,2.62,0.4
2021-01-01,30.12,2.61,0.4
2021-01-04,30.1,2.6,0.4
2021-01-05,30.6,2.65,0.4
2021-01-06,30.67,2.65,0.4
2021-01-07,30.82,2.67,0.39
2021-01-08,30.95,2.68,0.39
2021-01-11,30.86,2.67,0.39
2021-01-12,31.19,2.7,0.39
2021-01-13,31.42,2.72,0.39
2021-01-14,31.37,2.71,0.39
2021-01-15,31.1,2.69,0.39
2021-01-18,30.68,2.65,0.4
2021-01-19,30.85,2.71,0.39
2021-01-20,30.96,2.72,0.39
2021-01-21,30.62,2.69,0.39
2021-01-22,29.68,2.6,0.4
2021-01-25,29.75,2.6,0.4
2021-01-27,28.88,2.53,0.42
2021-01-28,28.86,2.53,0.41
2021-01-29,28.95,2.55,0.41
2021-02-01,31.29,2.76,0.38
2021-02-02,31.72,2.86,0.37
2021-02-03,32.17,2.9,0.36
2021-02-04,32.71,2.95,0.36
2021-02-05,33.0,2.98,0.35
2021-02-08,33.46,3.0,0.35
2021-02-09,33.31,3.01,0.35
2021-02-10,33.06,2.99,0.35
2021-02-11,33.03,2.98,0.35
2021-02-12,33.36,3.01,0.35
2021-02-15,34.47,3.11,0.34
2021-02-16,34.27,3.1,0.34
2021-02-17,34.1,3.08,0.34
2021-02-18,33.8,3.05,0.34
2021-02-19,33.11,2.99,0.35
2021-02-22,32.57,2.94,0.36
2021-02-23,32.44,2.93,0.36
2021-02-24,33.68,3.04,0.35
2021-02-25,33.77,3.05,0.34
2021-02-26,32.15,2.9,0.36
2021-03-01,32.61,2.95,0.36
2021-03-02,32.72,2.96,0.36
2021-03-03,33.6,3.04,0.35
2021-03-04,33.08,2.99,0.35
2021-03-05,32.55,2.94,0.36
2021-03-08,32.59,2.94,0.36
2021-03-09,33.14,2.99,0.35
2021-03-10,33.2,3.0,0.35
2021-03-12,32.79,2.96,0.35
2021-03-15,32.5,2.94,0.36
2021-03-16,32.16,2.9,0.36
2021-03-17,31.62,2.86,0.37
2021-03-18,31.28,2.83,0.37
2021-03-19,31.56,2.85,0.37
2021-03-22,31.05,2.8,0.37
2021-03-23,31.58,2.85,0.37
2021-03-24,30.76,2.78,0.38
2021-03-25,30.49,2.75,0.38
2021-03-26,30.78,2.78,0.38
2021-03-30,31.3,2.83,0.37
2021-03-31,25.87,3.03,
