date,pe,pb,div_yield
2015-11-30,14.58,1.4,2.59
2015-12-01,14.83,1.43,2.55
2015-12-02,14.86,1.43,2.54
2015-12-03,14.74,1.42,2.56
2015-12-04,14.72,1.41,2.58
2015-12-07,14.66,1.4,2.59
2015-12-08,14.39,1.37,2.64
2015-12-09,14.07,1.34,2.7
2015-12-10,14.3,1.37,2.66
2015-12-11,14.2,1.36,2.67
2015-12-14,14.33,1.37,2.65
2015-12-15,14.41,1.38,2.64
2015-12-16,14.57,1.39,2.61
2015-12-17,14.77,1.41,2.57
2015-12-18,14.65,1.4,2.59
2015-12-21,14.78,1.41,2.57
2015-12-22,14.74,1.41,2.58
2015-12-23,14.93,1.43,2.55
2015-12-24,14.99,1.43,2.54
2015-12-28,15.05,1.44,2.53
2015-12-29,15.07,1.44,2.52
2015-12-30,15.04,1.44,2.53
2015-12-31,15.15,1.45,2.51
2016-01-01,15.26,1.46,2.49
2016-01-04,15.05,1.44,2.53
2016-01-05,15.23,1.45,2.5
2016-01-06,15.22,1.45,2.5
2016-01-07,14.72,1.41,2.58
2016-01-08,14.88,1.42,2.55
2016-01-11,14.85,1.42,2.56
2016-01-12,14.72,1.41,2.59
2016-01-13,14.72,1.41,2.59
2016-01-14,14.59,1.39,2.61
2016-01-15,14.34,1.37,2.65
2016-01-18,14.02,1.34,2.72
2016-01-19,14.14,1.35,2.69
2016-01-20,13.78,1.32,2.76
2016-01-21,13.67,1.31,2.78
2016-01-22,14.01,1.34,2.71
2016-01-25,14.08,1.35,2.7
2016-01-27,14.12,1.35,2.69
2016-01-28,14.06,1.35,2.69
2016-01-29,14.31,1.38,2.64
2016-02-01,14.28,1.38,2.63
2016-02-02,14.78,1.34,2.71
2016-02-03,14.49,1.31,2.77
2016-02-04,14.61,1.33,2.74
2016-02-05,14.82,1.34,2.71
2016-02-08,14.63,1.33,2.73
2016-02-09,14.51,1.32,2.76
2016-02-10,14.84,1.32,2.76
2016-02-11,14.34,1.27,2.86
2016-02-12,14.19,1.26,2.89
2016-02-15,14.22,1.32,2.76
2016-02-16,14.0,1.3,2.81
2016-02-17,14.1,1.31,2.79
2016-02-18,14.4,1.32,2.75
2016-02-19,14.32,1.32,2.76
2016-02-22,14.44,1.33,2.74
2016-02-23,14.15,1.3,2.79
2016-02-24,13.97,1.29,2.83
2016-02-25,13.93,1.28,2.84
2016-02-26,14.05,1.29,2.82
2016-02-29,13.94,1.28,2.84
2016-03-01,14.29,1.31,2.77
2016-03-02,14.52,1.33,2.73
2016-03-03,14.77,1.36,2.68
2016-03-04,14.89,1.37,2.66
2016-03-08,14.98,1.38,2.63
2016-03-09,15.01,1.38,2.62
2016-03-10,14.97,1.38,2.63
2016-03-11,14.95,1.38,2.63
2016-03-14,14.94,1.38,2.63
2016-03-15,14.95,1.38,2.63
2016-03-16,14.91,1.37,2.64
2016-03-17,15.11,1.39,2.61
2016-03-18,15.3,1.41,2.57
2016-03-21,15.5,1.43,2.54
2016-03-22,15.57,1.43,2.53
2016-03-23,15.6,1.44,2.49
2016-03-28,15.38,1.42,2.52
2016-03-29,15.4,1.42,2.52
2016-03-30,15.73,1.45,2.47
2016-03-31,15.69,1.44,2.47
2016-04-01,15.61,1.44,2.48
2016-04-04,15.64,1.44,2.48
2016-04-05,15.37,1.41,2.52
2016-04-06,15.58,1.43,2.49
