date,pe,pb,div_yield
2015-11-30,12.41,1.48,1.84
2015-12-01,12.48,1.49,1.83
2015-12-02,12.55,1.5,1.82
2015-12-03,12.47,1.49,1.83
2015-12-04,12.31,1.47,1.86
2015-12-07,12.22,1.46,1.87
2015-12-08,12.03,1.43,1.9
2015-12-09,11.82,1.41,1.93
2015-12-10,12.12,1.44,1.89
2015-12-11,12.05,1.44,1.9
2015-12-14,12.04,1.44,1.9
2015-12-15,12.2,1.45,1.87
2015-12-16,12.37,1.48,1.85
2015-12-17,12.59,1.5,1.82
2015-12-18,12.47,1.49,1.83
2015-12-21,12.57,1.5,1.82
2015-12-22,12.54,1.5,1.82
2015-12-23,12.74,1.52,1.79
2015-12-24,12.73,1.52,1.79
2015-12-28,12.88,1.54,1.77
2015-12-29,12.9,1.54,1.77
2015-12-30,12.83,1.53,1.78
2015-12-31,12.93,1.54,1.77
2016-01-01,12.94,1.54,1.77
2016-01-04,12.75,1.52,1.79
2016-01-05,12.88,1.54,1.77
2016-01-06,13.05,1.56,1.75
2016-01-07,12.73,1.52,1.79
2016-01-08,12.93,1.54,1.77
2016-01-11,13.04,1.55,1.75
2016-01-12,12.98,1.55,1.76
2016-01-13,13.16,1.57,1.74
2016-01-14,13.06,1.56,1.75
2016-01-15,12.96,1.55,1.76
2016-01-18,12.48,1.49,1.83
2016-01-19,12.68,1.51,1.8
2016-01-20,12.32,1.47,1.85
2016-01-21,12.12,1.44,1.89
2016-01-22,12.41,1.48,1.84
2016-01-25,12.4,1.48,1.84
2016-01-27,12.45,1.48,1.84
2016-01-28,12.16,1.51,1.81
2016-01-29,12.36,1.53,1.78
2016-02-01,12.35,1.52,1.79
2016-02-02,12.01,1.48,1.84
2016-02-03,11.77,1.45,1.88
2016-02-04,11.76,1.45,1.88
2016-02-05,11.75,1.45,1.88
2016-02-08,11.59,1.43,1.91
2016-02-09,11.61,1.43,1.91
2016-02-10,11.6,1.43,1.91
2016-02-11,11.14,1.37,1.99
2016-02-12,10.97,1.35,2.02
2016-02-15,10.73,1.4,1.95
2016-02-16,10.59,1.38,1.98
2016-02-17,10.76,1.4,1.95
2016-02-18,10.77,1.4,1.94
2016-02-19,10.76,1.4,1.95
2016-02-22,10.85,1.41,1.93
2016-02-23,10.66,1.39,1.96
2016-02-24,10.66,1.39,1.96
2016-02-25,10.56,1.37,1.98
2016-02-26,10.64,1.39,1.97
2016-02-29,10.58,1.38,1.98
2016-03-01,10.8,1.41,1.94
2016-03-02,10.98,1.43,1.91
2016-03-03,11.1,1.44,1.89
2016-03-04,11.12,1.45,1.88
2016-03-08,11.27,1.47,1.86
2016-03-09,11.33,1.47,1.85
2016-03-10,11.15,1.45,1.87
2016-03-11,11.17,1.45,1.87
2016-03-14,11.24,1.46,1.86
2016-03-15,11.26,1.47,1.86
2016-03-16,11.25,1.46,1.86
2016-03-17,11.34,1.48,1.84
2016-03-18,11.4,1.48,1.83
2016-03-21,11.5,1.5,1.82
2016-03-22,11.58,1.51,1.81
2016-03-23,11.45,1.49,1.83
2016-03-28,11.41,1.49,1.83
2016-03-29,11.47,1.49,1.82
2016-03-30,11.65,1.52,1.79
2016-03-31,11.61,1.51,1.8
2016-04-01,11.5,1.5,1.82
2016-04-04,11.53,1.5,1.81
2016-04-05,11.43,1.49,1.83
2016-04-06,11.49,1.5,1.82
2016-04-07,11.5,1.5,1.82
2016-04-08,11.57,1.51,1.81
2016-04-11,11.69,1.52,1.79
2016-04-12,11.78,1.53,1.77
2016-04-13,11.95,1.56,1.75
2016-04-18,11.98,1.56,1.75
2016-04-20,11.86,1.54,1.76
2016-04-21,11.9,1.55,1.76
2016-04-22,11.93,1.55,1.75
2016-04-25,11.74,1.53,1.78
2016-04-26,11.58,1.53,1.77
2016-04-27,11.66,1.54,1.76
2016-04-28,11.39,1.51,1.8
2016-04-29,11.23,1.51,1.81
2016-05-02,11.25,1.51,1.8
2016-05-03,11.15,1.5,1.82
2016-05-04,11.1,1.49,1.83
2016-05-05,11.08,1.49,1.83
2016-05-06,11.09,1.49,1.83
2016-05-09,11.22,1.51,1.81
2016-05-10,11.15,1.5,1.82
2016-05-11,11.08,1.49,1.83
2016-05-12,11.2,1.5,1.81
2016-05-13,11.1,1.49,1.83
2016-05-16,11.06,1.48,1.83
2016-05-17,11.08,1.49,1.83
2016-05-18,11.08,1.49,1.83
2016-05-19,10.94,1.47,1.85
2016-05-20,10.87,1.46,1.87
2016-05-23,10.83,1.45,1.87
2016-05-24,10.85,1.46,1.87
2016-05-25,11.08,1.48,1.84
2016-05-26,11.11,1.48,1.83
2016-05-27,11.31,1.52,1.8
2016-05-30,11.64,1.52,1.8
2016-05-31,11.67,1.5,1.81
2016-06-01,11.65,1.5,1.81
2016-06-02,11.71,1.51,1.81
2016-06-03,11.77,1.51,1.8
2016-06-06,11.7,1.51,1.81
2016-06-07,11.71,1.51,1.81
2016-06-08,11.74,1.51,1.8
2016-06-09,11.91,1.53,1.78
2016-06-10,11.91,1.53,1.78
2016-06-13,11.88,1.53,1.78
2016-06-14,11.82,1.52,1.79
2016-06-15,12.0,1.54,1.76
2016-06-16,11.92,1.53,1.77
2016-06-17,11.92,1.53,1.68
2016-06-20,12.03,1.55,1.67
2016-06-21,12.01,1.54,1.67
2016-06-22,11.97,1.54,1.68
2016-06-23,11.99,1.54,1.67
2016-06-24,11.74,1.51,1.71
2016-06-27,11.81,1.52,1.7
2016-06-28,11.86,1.53,1.69
2016-06-29,12.02,1.55,1.67
2016-06-30,12.13,1.56,1.65
2016-07-01,12.33,1.59,1.63
2016-07-04,12.48,1.61,1.61
2016-07-05,12.42,1.6,1.62
2016-07-07,12.39,1.59,1.62
2016-07-08,12.3,1.58,1.63
2016-07-11,12.49,1.61,1.61
2016-07-12,12.58,1.62,1.6
2016-07-13,12.6,1.62,1.59
2016-07-14,12.63,1.63,1.59
2016-07-15,12.64,1.63,1.59
2016-07-18,12.49,1.61,1.61
2016-07-19,12.69,1.63,1.58
2016-07-20,12.82,1.65,1.57
2016-07-21,12.69,1.63,1.58
2016-07-22,12.83,1.65,1.56
2016-07-25,13.0,1.67,1.54
2016-07-26,12.97,1.67,1.55
2016-07-27,12.94,1.67,1.55
2016-07-28,13.0,1.67,1.54
2016-07-29,12.98,1.67,1.55
2016-08-01,12.95,1.67,1.55
2016-08-02,12.96,1.67,1.55
2016-08-03,12.77,1.64,1.57
2016-08-04,12.79,1.65,1.57
2016-08-05,13.09,1.68,1.53
2016-08-08,13.24,1.7,1.52
2016-08-09,13.19,1.7,1.52
2016-08-10,12.91,1.66,1.55
2016-08-11,13.01,1.67,1.54
2016-08-12,13.15,1.69,1.53
2016-08-16,13.16,1.69,1.52
2016-08-17,13.08,1.68,1.53
2016-08-18,13.25,1.7,1.51
2016-08-19,13.27,1.63,1.53
2016-08-22,13.19,1.62,1.54
2016-08-23,13.04,1.6,1.56
2016-08-24,13.19,1.62,1.54
2016-08-25,13.14,1.61,1.55
2016-08-26,13.22,1.6,1.51
2016-08-29,13.39,1.62,1.49
