date,pe,pb,div_yield
2015-11-30,37.63,11.93,1.42
2015-12-01,38.15,12.1,1.4
2015-12-02,38.35,12.16,1.39
2015-12-03,37.75,11.97,1.42
2015-12-04,37.27,11.82,1.43
2015-12-07,36.25,11.5,1.47
2015-12-08,36.22,11.49,1.48
2015-12-09,36.09,11.45,1.48
2015-12-10,36.41,11.55,1.47
2015-12-11,36.41,11.55,1.47
2015-12-14,36.56,11.6,1.46
2015-12-15,37.01,11.74,1.44
2015-12-16,36.73,11.65,1.45
2015-12-17,37.01,11.74,1.44
2015-12-18,36.77,11.66,1.45
2015-12-21,37.37,11.85,1.43
2015-12-22,36.94,11.72,1.45
2015-12-23,37.09,11.76,1.44
2015-12-24,37.23,11.81,1.44
2015-12-28,37.4,11.86,1.43
2015-12-29,37.22,11.8,1.44
2015-12-30,37.25,11.81,1.43
2015-12-31,37.48,11.89,1.43
2016-01-01,37.46,11.88,1.43
2016-01-04,37.28,11.82,1.43
2016-01-05,37.21,11.8,1.44
2016-01-06,36.54,11.59,1.46
2016-01-07,35.75,11.34,1.49
2016-01-08,35.93,11.4,1.49
2016-01-11,35.89,11.38,1.49
2016-01-12,35.91,11.39,1.49
2016-01-13,36.04,11.43,1.48
2016-01-14,36.09,11.45,1.48
2016-01-15,35.45,11.24,1.51
2016-01-18,35.29,11.19,1.51
2016-01-19,35.68,11.21,1.51
2016-01-20,35.15,11.05,1.53
2016-01-21,34.61,10.87,1.56
2016-01-22,34.77,10.93,1.55
2016-01-25,34.75,10.93,1.55
2016-01-27,34.78,10.94,1.55
2016-01-28,35.32,11.13,1.52
2016-01-29,35.76,11.27,1.5
2016-02-01,35.9,11.35,1.49
2016-02-02,35.69,11.3,1.5
2016-02-03,35.71,11.31,1.5
2016-02-04,35.84,11.35,1.49
2016-02-05,36.2,11.46,1.48
2016-02-08,35.65,11.3,1.5
2016-02-09,35.32,11.19,1.51
2016-02-10,34.88,11.06,1.53
2016-02-11,33.84,10.73,1.58
2016-02-12,33.9,10.79,1.57
2016-02-15,34.22,10.9,1.56
2016-02-16,33.51,10.67,1.59
2016-02-17,33.83,10.78,1.57
2016-02-18,34.35,10.94,1.55
2016-02-19,34.34,10.94,1.55
2016-02-22,34.49,10.99,1.54
2016-02-23,33.89,10.79,1.57
2016-02-24,33.46,10.66,1.59
2016-02-25,33.45,10.65,1.59
2016-02-26,33.86,10.78,1.57
2016-02-29,33.9,10.8,1.57
2016-03-01,35.73,11.38,1.49
2016-03-02,35.62,11.35,1.5
2016-03-03,35.53,11.32,1.5
2016-03-04,35.41,11.28,1.5
2016-03-08,35.54,11.32,1.5
2016-03-09,35.6,11.34,1.5
2016-03-10,35.26,11.23,1.51
2016-03-11,35.8,11.4,1.49
2016-03-14,36.13,11.51,1.47
2016-03-15,35.39,11.27,1.5
2016-03-16,35.76,11.39,1.49
2016-03-17,35.96,11.45,1.48
2016-03-18,36.17,11.52,1.47
2016-03-21,36.86,11.74,1.45
2016-03-22,36.27,11.55,1.47
2016-03-23,36.31,11.56,1.47
2016-03-28,36.0,11.47,1.48
2016-03-29,35.84,11.41,1.49
2016-03-30,36.42,11.6,1.46
2016-03-31,36.55,11.64,1.46
2016-04-01,36.98,11.78,1.44
2016-04-04,36.79,11.72,1.45
2016-04-05,36.32,11.57,1.47
2016-04-06,36.36,11.58,1.46
2016-04-07,35.85,11.42,1.49
2016-04-08,35.98,11.46,1.48
2016-04-11,36.35,11.58,1.47
2016-04-12,36.26,11.55,1.47
2016-04-13,37.07,11.81,1.44
2016-04-18,37.46,11.93,1.42
2016-04-20,37.45,11.93,1.42
2016-04-21,37.12,11.82,1.43
2016-04-22,36.76,11.71,1.45
2016-04-25,36.46,11.61,1.46
2016-04-26,36.79,11.72,1.45
2016-04-27,37.25,11.86,1.43
2016-04-28,36.38,11.59,1.46
2016-04-29,36.51,11.63,1.46
2016-05-02,36.39,11.62,1.46
2016-05-03,35.92,11.47,1.48
2016-05-04,35.59,11.37,1.49
2016-05-05,35.87,11.47,1.48
2016-05-06,35.97,11.5,1.48
2016-05-09,36.46,11.64,1.46
2016-05-10,36.52,11.69,1.45
2016-05-11,36.32,11.62,1.46
2016-05-12,36.36,11.63,1.46
2016-05-13,36.21,11.59,1.46
2016-05-16,36.78,11.77,1.44
2016-05-17,36.72,11.76,1.44
2016-05-18,36.74,11.76,1.44
2016-05-19,36.1,11.55,1.47
2016-05-20,36.27,11.61,1.46
2016-05-23,37.14,11.89,1.43
2016-05-24,36.8,11.91,1.42
2016-05-25,37.59,12.16,1.4
2016-05-26,38.11,12.32,1.38
2016-05-27,35.67,12.32,1.38
2016-05-30,34.88,12.26,1.38
2016-05-31,34.4,12.1,1.4
2016-06-01,35.01,12.31,1.38
2016-06-02,35.07,12.33,1.38
2016-06-03,35.06,12.33,1.38
2016-06-06,35.02,12.31,1.38
2016-06-07,35.56,12.5,1.36
2016-06-08,35.58,12.51,1.36
2016-06-09,34.93,12.28,1.38
2016-06-10,34.71,12.21,1.41
2016-06-13,34.62,12.18,1.41
2016-06-14,34.73,12.22,1.41
2016-06-15,35.13,12.36,1.39
2016-06-16,34.98,12.3,1.4
2016-06-17,35.28,12.41,1.39
2016-06-20,35.22,12.39,1.39
2016-06-21,35.2,12.38,1.39
2016-06-22,35.0,12.31,1.4
2016-06-23,35.31,12.42,1.38
