date,pe,pb,div_yield
2015-11-30,19.68,1.82,1.14
2015-12-01,19.56,1.8,1.15
2015-12-02,19.49,1.8,1.15
2015-12-03,19.38,1.79,1.16
2015-12-04,19.15,1.77,1.17
2015-12-07,19.17,1.77,1.17
2015-12-08,18.89,1.74,1.19
2015-12-09,18.61,1.72,1.21
2015-12-10,18.79,1.73,1.2
2015-12-11,18.48,1.7,1.22
2015-12-14,18.54,1.71,1.21
2015-12-15,18.59,1.71,1.21
2015-12-16,18.82,1.74,1.19
2015-12-17,19.04,1.76,1.18
2015-12-18,19.01,1.73,1.18
2015-12-21,19.17,1.74,1.17
2015-12-22,19.12,1.74,1.18
2015-12-23,19.35,1.76,1.16
2015-12-24,19.5,1.77,1.15
2015-12-28,19.55,1.78,1.15
2015-12-29,19.56,1.78,1.15
2015-12-30,19.55,1.78,1.15
2015-12-31,19.67,1.79,1.14
2016-01-01,19.84,1.8,1.13
2016-01-04,19.36,1.76,1.16
2016-01-05,19.34,1.76,1.16
2016-01-06,19.17,1.74,1.17
2016-01-07,18.65,1.69,1.2
2016-01-08,18.69,1.7,1.2
2016-01-11,18.58,1.69,1.21
2016-01-12,18.53,1.68,1.21
2016-01-13,18.21,1.65,1.23
2016-01-14,18.03,1.63,1.25
2016-01-15,17.41,1.58,1.29
2016-01-18,17.12,1.55,1.32
2016-01-19,17.59,1.59,1.28
2016-01-20,17.29,1.57,1.3
2016-01-21,17.18,1.56,1.31
2016-01-22,17.41,1.58,1.29
2016-01-25,17.21,1.56,1.31
2016-01-27,17.3,1.57,1.3
2016-01-28,16.84,1.55,1.32
2016-01-29,17.06,1.56,1.3
2016-02-01,17.68,1.58,1.29
2016-02-02,17.62,1.56,1.31
2016-02-03,17.24,1.53,1.33
2016-02-04,17.42,1.55,1.32
2016-02-05,17.53,1.55,1.31
2016-02-08,17.44,1.55,1.32
2016-02-09,17.35,1.54,1.32
2016-02-10,17.26,1.53,1.33
2016-02-11,16.61,1.48,1.38
2016-02-12,16.52,1.47,1.39
2016-02-15,18.31,1.53,1.34
