date,pe,pb,div_yield
2020-12-01,29.89,7.66,1.89
2020-12-02,30.09,7.71,1.87
2020-12-03,29.93,7.67,1.88
2020-12-04,30.07,7.71,1.87
2020-12-07,30.25,7.75,1.86
2020-12-08,30.49,7.81,1.85
2020-12-09,30.74,7.88,1.83
2020-12-10,30.68,7.86,1.84
2020-12-11,30.55,7.83,1.85
2020-12-14,30.66,7.86,1.84
2020-12-15,30.62,7.85,1.84
2020-12-16,30.88,7.91,1.83
2020-12-17,30.86,7.91,1.83
2020-12-18,31.35,8.03,1.8
2020-12-21,30.8,7.89,1.83
2020-12-22,31.83,8.15,1.77
2020-12-23,32.58,8.35,1.73
2020-12-24,32.37,8.29,1.74
2020-12-28,32.49,8.32,1.74
2020-12-29,32.72,8.38,1.72
2020-12-30,32.8,8.4,1.72
2020-12-31,32.69,8.38,1.72
2021-01-01,32.98,8.5,1.73
2021-01-04,33.87,8.73,1.68
2021-01-05,34.76,8.96,1.64
2021-01-06,34.28,8.84,1.66
2021-01-07,34.06,8.78,1.67
2021-01-08,35.29,9.1,1.61
2021-01-11,36.01,9.4,1.56
2021-01-12,35.95,9.38,1.56
2021-01-13,35.98,9.39,1.56
2021-01-14,35.93,9.38,1.56
2021-01-15,34.41,9.17,1.6
2021-01-18,33.83,9.01,1.63
2021-01-19,33.62,9.06,1.62
2021-01-20,34.26,9.26,1.58
2021-01-21,33.95,9.2,1.6
2021-01-22,34.0,9.21,1.59
2021-01-25,33.4,9.05,1.62
2021-01-27,33.14,8.99,1.63
2021-01-28,32.42,8.8,1.67
2021-01-29,31.58,8.57,1.71
2021-02-01,32.0,8.67,1.69
2021-02-02,32.34,8.85,1.66
2021-02-03,32.63,8.93,1.64
2021-02-04,32.49,8.89,1.65
2021-02-05,32.19,8.81,1.67
2021-02-08,32.93,9.01,1.63
2021-02-09,32.76,8.96,1.64
2021-02-10,32.89,9.0,1.63
2021-02-11,33.09,9.06,1.62
2021-02-12,33.16,9.07,1.62
2021-02-15,33.04,9.04,1.62
2021-02-16,32.58,8.91,1.65
2021-02-17,32.15,8.79,1.67
2021-02-18,32.58,8.91,1.65
2021-02-19,32.43,8.87,1.65
2021-02-22,31.5,8.61,1.7
2021-02-23,31.55,8.63,1.7
2021-02-24,31.51,8.62,1.7
2021-02-25,31.63,8.65,1.7
2021-02-26,30.91,8.45,1.74
2021-03-01,31.23,8.54,1.72
2021-03-02,32.18,8.8,1.67
2021-03-03,32.78,8.96,1.64
2021-03-04,32.6,8.91,1.65
2021-03-05,32.09,8.77,1.67
2021-03-08,32.24,8.81,1.66
2021-03-09,32.54,8.9,1.65
2021-03-10,33.08,9.04,1.62
2021-03-12,32.92,9.0,1.63
2021-03-15,33.11,9.05,1.62
2021-03-16,33.53,9.17,1.6
2021-03-17,33.3,9.1,1.61
2021-03-18,32.27,8.82,1.66
2021-03-19,32.51,8.89,1.65
2021-03-22,33.11,9.05,1.62
2021-03-23,33.2,9.08,1.62
2021-03-24,32.82,8.97,1.64
2021-03-25,32.1,8.78,1.67
2021-03-26,32.28,8.83,1.66
2021-03-30,33.22,9.08,1.62
2021-03-31,28.65,8.32,1.29
2021-04-01,28.79,8.36,1.29
2021-04-05,29.36,8.52,1.26
2021-04-06,29.4,8.54,1.26
2021-04-07,29.73,8.63,1.24
2021-04-08,30.09,8.73,1.23
2021-04-09,30.33,8.8,1.22
2021-04-12,29.62,8.6,1.25
2021-04-13,28.43,8.32,1.29
2021-04-15,28.34,8.37,1.28
2021-04-16,28.46,8.47,1.27
2021-04-19,28.27,8.44,1.27
2021-04-20,27.88,8.32,1.29
2021-04-22,27.82,8.31,1.29
2021-04-23,27.59,8.24,1.3
2021-04-26,27.67,8.26,1.3
2021-04-27,28.42,8.3,1.29
2021-04-28,28.32,8.35,1.29
2021-04-29,28.22,8.32,1.45
2021-04-30,27.99,8.26,1.46
2021-05-03,28.0,8.26,1.46
2021-05-04,27.8,8.2,1.47
2021-05-05,28.12,8.3,1.46
2021-05-06,28.56,8.45,1.43
2021-05-07,28.45,8.45,1.43
2021-05-10,28.44,8.45,1.43
2021-05-11,28.26,8.4,1.44
2021-05-12,27.99,8.32,1.45
2021-05-14,27.7,8.23,1.46
2021-05-17,27.78,8.26,1.6
2021-05-18,28.1,8.34,1.59
2021-05-19,28.12,8.35,1.46
2021-05-20,28.03,8.32,1.47
2021-05-21,28.26,8.39,1.46
2021-05-24,28.3,8.4,1.45
2021-05-25,28.57,8.48,1.56
2021-05-26,29.07,8.63,1.53
2021-05-27,29.4,8.73,1.52
2021-05-28,29.36,8.71,1.52
2021-05-31,29.35,8.42,1.62
2021-06-01,29.38,8.43,1.62
2021-06-02,29.16,8.37,1.63
2021-06-03,29.21,8.38,1.58
2021-06-04,29.22,8.39,1.58
2021-06-07,29.54,8.48,1.56
2021-06-08,29.9,8.58,1.54
2021-06-09,29.81,8.55,1.55
2021-06-10,30.09,8.63,1.53
2021-06-11,30.54,8.76,1.51
2021-06-14,30.65,8.79,1.5
2021-06-15,30.72,8.81,1.5
2021-06-16,30.79,8.84,1.5
2021-06-17,30.97,8.89,1.49
2021-06-18,30.79,8.84,1.5
2021-06-21,30.7,8.81,1.5
2021-06-22,30.87,8.86,1.49
2021-06-23,30.59,8.78,1.51
2021-06-24,31.44,9.02,1.47
2021-06-25,31.62,9.07,1.46
2021-06-28,31.46,9.03,1.47
2021-06-29,31.37,9.0,1.47
2021-06-30,31.87,9.11,1.49
2021-07-01,31.69,9.06,1.53
2021-07-02,31.69,9.06,1.45
2021-07-05,31.63,9.04,1.48
2021-07-06,31.3,8.95,1.48
2021-07-07,31.4,8.98,1.47
2021-07-08,31.41,8.98,1.47
2021-07-09,31.32,8.95,1.46
2021-07-12,30.76,8.91,1.46
2021-07-13,30.66,8.88,1.47
2021-07-14,31.63,9.17,1.42
2021-07-15,31.89,9.28,1.46
2021-07-16,31.19,9.18,1.44
2021-07-19,30.99,9.14,1.44
2021-07-20,30.74,9.14,1.44
2021-07-22,31.21,9.3,1.42
2021-07-23,31.33,9.34,1.6
2021-07-26,31.37,9.16,1.59
2021-07-27,31.25,9.15,1.65
2021-07-28,31.31,9.17,1.65
2021-07-29,31.75,9.29,1.62
2021-07-30,31.78,9.33,1.63
2021-08-02,31.78,9.43,1.61
2021-08-03,32.15,9.54,1.59
2021-08-04,31.96,9.48,1.6
2021-08-05,32.2,9.55,1.59
2021-08-06,32.29,9.58,1.59
2021-08-09,32.44,9.62,1.59
2021-08-10,32.72,9.71,1.57
2021-08-11,32.67,9.69,1.58
2021-08-12,33.27,9.87,1.55
2021-08-13,33.71,10.0,1.53
2021-08-16,33.61,9.97,1.53
2021-08-17,34.47,10.23,1.49
2021-08-18,34.51,10.24,1.49
2021-08-20,34.41,10.21,1.5
2021-08-23,34.99,10.38,1.47
2021-08-24,34.91,10.36,1.48
2021-08-25,35.16,10.43,1.46
2021-08-26,35.12,10.42,1.47
2021-08-27,35.4,10.5,1.46
2021-08-30,35.19,10.44,1.46
2021-08-31,35.66,10.38,1.44
2021-09-01,35.19,10.25,1.46
2021-09-02,35.78,10.42,1.44
2021-09-03,35.99,10.48,1.43
2021-09-06,36.54,10.64,1.41
2021-09-07,36.06,10.5,1.43
2021-09-08,35.78,10.42,1.44
2021-09-09,35.9,10.45,1.43
2021-09-13,36.24,10.55,1.55
2021-09-14,36.55,10.64,1.52
2021-09-15,37.22,10.84,1.49
2021-09-16,36.99,10.77,1.5
2021-09-17,36.77,10.71,1.51
2021-09-20,36.52,10.63,1.52
2021-09-21,37.23,10.84,1.49
2021-09-22,37.57,10.94,1.48
2021-09-23,37.98,11.06,1.46
2021-09-24,38.28,11.07,1.45
2021-09-27,37.17,10.75,1.49
2021-09-28,36.35,10.51,1.53
2021-09-29,36.4,10.52,1.53
2021-09-30,36.81,10.66,1.43
2021-10-01,36.55,10.58,1.44
2021-10-04,36.92,10.69,1.43
2021-10-05,37.36,10.82,1.41
2021-10-06,36.86,10.67,1.43
2021-10-07,37.52,10.86,1.4
2021-10-08,38.26,11.08,1.38
2021-10-11,36.97,10.7,1.42
2021-10-12,36.11,10.61,1.44
2021-10-13,36.54,10.74,1.42
2021-10-14,37.02,10.88,1.37
2021-10-18,37.01,11.05,1.35
2021-10-19,37.78,11.29,1.32
2021-10-20,37.46,11.21,1.33
2021-10-21,36.47,10.93,1.44
2021-10-22,35.94,10.77,1.44
2021-10-25,35.55,10.65,1.27
2021-10-26,35.66,10.7,1.5
2021-10-27,35.74,10.8,1.47
2021-10-28,35.14,10.62,1.5
2021-10-29,34.63,10.47,1.42
2021-11-01,35.52,10.74,1.38
2021-11-02,35.41,10.7,1.48
2021-11-03,35.41,10.7,1.49
2021-11-04,35.57,10.75,1.48
2021-11-08,36.02,10.89,1.47
2021-11-09,36.05,10.9,1.46
2021-11-10,35.96,10.87,1.47
2021-11-11,35.82,10.83,1.47
2021-11-12,36.57,11.05,1.44
2021-11-15,36.7,11.1,1.44
2021-11-16,36.88,11.15,1.43
2021-11-17,36.9,11.15,1.43
2021-11-18,36.24,10.96,1.46
2021-11-22,35.71,10.8,1.48
2021-11-23,35.74,10.8,1.48
2021-11-24,35.19,10.64,1.5
2021-11-25,35.53,10.74,1.49
2021-11-26,34.83,10.53,1.52
2021-11-29,35.1,10.61,1.5
2021-11-30,35.27,10.66,1.5
2021-12-01,35.66,10.78,1.48
2021-12-02,36.39,11.0,1.45
2021-12-03,36.08,10.91,1.46
2021-12-06,35.11,10.61,1.5
2021-12-07,35.5,10.73,1.49
2021-12-08,36.19,10.94,1.46
2021-12-09,36.18,10.94,1.46
2021-12-10,36.17,10.94,1.46
2021-12-13,36.29,10.97,1.45
2021-12-14,36.34,10.98,1.45
2021-12-15,35.97,10.87,1.47
2021-12-16,36.4,11.0,1.45
2021-12-17,36.89,11.15,1.43
2021-12-20,36.15,10.93,1.46
2021-12-21,36.87,11.14,1.43
2021-12-22,37.23,11.25,1.42
2021-12-23,37.61,11.37,1.4
2021-12-24,37.97,11.48,1.39
2021-12-27,38.24,11.56,1.38
2021-12-28,38.61,11.67,1.37
2021-12-29,38.52,11.65,1.37
2021-12-30,38.91,11.76,1.36
2021-12-31,38.91,11.93,1.34
2022-01-03,39.33,12.06,1.33
2022-01-04,39.58,12.14,1.32
2022-01-05,38.82,11.9,1.35
2022-01-06,38.21,11.72,1.37
2022-01-07,38.34,11.76,1.36
2022-01-10,38.42,11.78,1.36
2022-01-11,38.81,11.9,1.35
2022-01-12,38.81,11.9,1.35
2022-01-13,38.81,11.9,1.35
2022-01-14,38.44,11.97,1.3
2022-01-17,38.32,11.96,1.3
2022-01-18,37.81,11.74,1.32
2022-01-19,37.01,11.49,1.4
2022-01-20,36.36,11.3,1.5
2022-01-21,35.7,11.11,1.51
2022-01-24,34.48,10.73,1.55
2022-01-25,34.34,10.7,1.56
2022-01-27,33.12,10.32,1.61
2022-01-28,33.49,10.44,1.6
2022-01-31,34.38,10.74,1.55
2022-02-01,34.92,10.9,1.53
2022-02-02,35.33,11.03,1.51
2022-02-03,34.55,10.81,1.54
2022-02-04,34.57,10.81,1.54
2022-02-07,34.12,10.67,1.57
2022-02-08,34.02,10.64,1.57
2022-02-09,34.47,10.78,1.55
2022-02-10,34.83,10.9,1.54
2022-02-11,33.88,10.6,1.58
2022-02-14,33.39,10.44,1.6
2022-02-15,34.4,10.76,1.55
2022-02-16,34.29,10.73,1.56
2022-02-17,34.13,10.68,1.57
