date,pe,pb,div_yield
2015-11-30,46.72,5.87,0.76
2015-12-01,47.26,5.94,0.75
2015-12-02,47.27,5.94,0.75
2015-12-03,47.2,5.93,0.75
2015-12-04,45.99,5.78,0.77
2015-12-07,46.14,5.8,0.77
2015-12-08,46.01,5.78,0.77
2015-12-09,45.33,5.7,0.78
2015-12-10,46.01,5.78,0.77
2015-12-11,45.69,5.74,0.78
2015-12-14,46.38,5.83,0.77
2015-12-15,46.79,5.88,0.76
2015-12-16,46.86,5.89,0.76
2015-12-17,47.94,6.03,0.74
2015-12-18,47.85,6.01,0.74
2015-12-21,48.44,6.09,0.73
2015-12-22,48.32,6.07,0.74
2015-12-23,48.68,6.12,0.73
2015-12-24,48.44,6.09,0.73
2015-12-28,48.69,6.12,0.73
2015-12-29,48.93,6.15,0.73
2015-12-30,49.85,6.27,0.71
2015-12-31,50.56,6.35,0.7
2016-01-01,50.46,6.34,0.7
2016-01-04,49.4,6.21,0.72
2016-01-05,49.81,6.26,0.71
2016-01-06,49.61,6.23,0.72
2016-01-07,48.38,6.08,0.73
2016-01-08,48.54,6.1,0.73
2016-01-11,48.25,6.06,0.74
2016-01-12,47.93,6.02,0.74
2016-01-13,48.08,6.04,0.74
2016-01-14,47.91,6.02,0.74
2016-01-15,46.16,5.8,0.77
2016-01-18,44.65,5.64,0.79
2016-01-19,44.91,5.67,0.79
2016-01-20,43.56,5.5,0.81
2016-01-21,43.88,5.54,0.81
2016-01-22,44.91,5.67,0.79
2016-01-25,44.81,5.65,0.79
2016-01-27,45.1,5.69,0.79
2016-01-28,45.74,5.77,0.77
2016-01-29,47.23,5.96,0.75
2016-02-01,46.77,5.93,0.75
2016-02-02,45.13,5.75,0.78
2016-02-03,44.84,5.71,0.78
2016-02-04,44.31,5.64,0.79
2016-02-05,45.2,5.76,0.78
2016-02-08,44.67,5.7,0.78
2016-02-09,43.81,5.59,0.8
2016-02-10,42.49,5.46,0.82
2016-02-11,40.99,5.26,0.85
2016-02-12,40.99,5.26,0.85
2016-02-15,40.34,5.45,0.82
2016-02-16,38.75,5.23,0.85
2016-02-17,39.36,5.31,0.84
2016-02-18,40.07,5.41,0.83
2016-02-19,40.12,5.42,0.82
2016-02-22,40.73,5.5,0.81
2016-02-23,40.08,5.41,0.83
2016-02-24,39.98,5.4,0.83
2016-02-25,39.1,5.28,0.85
2016-02-26,39.32,5.29,0.84
2016-02-29,38.76,5.21,0.85
2016-03-01,40.56,5.45,0.81
2016-03-02,41.34,5.56,0.8
2016-03-03,41.32,5.55,0.8
2016-03-04,41.47,5.57,0.8
2016-03-08,41.12,5.53,0.8
2016-03-09,41.5,5.58,0.8
2016-03-10,41.31,5.55,0.8
2016-03-11,41.57,5.59,0.79
2016-03-14,41.92,5.64,0.79
2016-03-15,40.82,5.49,0.81
2016-03-16,40.85,5.49,0.81
2016-03-17,41.04,5.52,0.81
2016-03-18,41.34,5.56,0.8
2016-03-21,41.5,5.58,0.8
2016-03-22,41.53,5.58,0.8
2016-03-23,41.54,5.58,0.8
2016-03-28,41.08,5.52,0.8
2016-03-29,40.82,5.49,0.81
2016-03-30,40.79,5.48,0.81
2016-03-31,41.53,5.58,0.8
2016-04-01,44.15,5.54,0.76
2016-04-04,44.74,5.62,0.75
2016-04-05,43.47,5.46,0.78
2016-04-06,43.87,5.51,0.77
2016-04-07,43.33,5.44,0.78
2016-04-08,43.51,5.46,0.77
2016-04-11,43.98,5.52,0.77
2016-04-12,44.86,5.63,0.75
2016-04-13,44.81,5.62,0.75
2016-04-18,45.36,5.69,0.74
2016-04-20,45.12,5.66,0.75
2016-04-21,45.04,5.65,0.75
2016-04-22,45.17,5.67,0.75
2016-04-25,45.19,5.67,0.75
2016-04-26,46.09,5.77,0.73
2016-04-27,45.77,5.73,0.74
2016-04-28,45.45,5.69,0.74
2016-04-29,46.18,5.78,0.73
2016-05-02,46.3,5.79,0.73
2016-05-03,46.51,5.82,0.73
2016-05-04,45.01,5.67,0.75
2016-05-05,44.83,5.65,0.75
2016-05-06,44.87,5.65,0.75
2016-05-09,46.17,5.82,0.73
2016-05-10,45.93,5.78,0.73
2016-05-11,47.08,6.04,0.7
2016-05-12,47.32,6.07,0.7
2016-05-13,47.56,6.1,0.69
2016-05-16,47.57,6.11,0.69
2016-05-17,47.87,6.14,0.69
2016-05-18,47.06,6.04,0.7
2016-05-19,46.22,5.93,0.71
2016-05-20,46.26,5.94,0.71
2016-05-23,45.92,5.89,0.72
2016-05-24,44.51,5.88,0.72
2016-05-25,45.08,5.96,0.71
2016-05-26,45.33,5.99,0.71
2016-05-27,44.15,6.07,0.7
2016-05-30,43.74,6.04,0.7
2016-05-31,44.13,6.04,0.7
2016-06-01,44.4,6.08,0.7
2016-06-02,44.73,6.12,0.69
2016-06-03,44.51,6.1,0.7
2016-06-06,44.45,6.09,0.7
2016-06-07,45.0,6.16,0.69
2016-06-08,45.04,6.17,0.69
2016-06-09,45.29,6.2,0.68
2016-06-10,45.12,6.18,0.69
2016-06-13,45.29,6.2,0.68
2016-06-14,45.06,6.17,0.69
2016-06-15,45.35,6.21,0.68
2016-06-16,44.93,6.15,0.69
2016-06-17,44.83,6.14,0.69
2016-06-20,44.95,6.16,0.69
2016-06-21,44.88,6.15,0.69
2016-06-22,44.83,6.14,0.69
2016-06-23,44.66,6.12,0.69
2016-06-24,44.29,6.06,0.7
2016-06-27,44.02,6.03,0.7
2016-06-28,43.96,6.02,0.7
2016-06-29,44.84,6.14,0.69
2016-06-30,45.87,6.28,0.67
2016-07-01,45.83,6.28,0.68
2016-07-04,46.4,6.35,0.67
2016-07-05,46.36,6.35,0.67
2016-07-07,45.73,6.26,0.68
2016-07-08,46.04,6.3,0.67
2016-07-11,46.19,6.32,0.67
2016-07-12,46.25,6.33,0.67
2016-07-13,45.72,6.26,0.68
2016-07-14,46.59,6.36,0.67
2016-07-15,46.66,6.38,0.66
2016-07-18,45.87,6.27,0.68
2016-07-19,46.37,6.34,0.67
2016-07-20,46.3,6.33,0.67
2016-07-21,46.05,6.3,0.67
2016-07-22,46.78,6.4,0.66
2016-07-25,47.55,6.5,0.65
2016-07-26,47.4,6.27,0.65
2016-07-27,47.98,6.35,0.65
2016-07-28,48.04,6.36,0.65
2016-07-29,49.11,6.5,0.63
2016-08-01,49.71,6.58,0.62
2016-08-02,49.3,6.52,0.63
2016-08-03,48.74,6.45,0.64
2016-08-04,48.48,6.41,0.64
2016-08-05,49.3,6.52,0.63
2016-08-08,49.51,6.55,0.63
2016-08-09,49.9,6.6,0.62
2016-08-10,49.62,6.56,0.62
2016-08-11,48.91,6.53,0.67
2016-08-12,49.14,6.57,0.67
2016-08-16,49.09,6.56,0.67
2016-08-17,49.04,6.55,0.67
2016-08-18,49.56,6.62,0.66
2016-08-19,49.6,6.61,0.66
2016-08-22,49.53,6.61,0.66
2016-08-23,50.57,6.66,0.66
2016-08-24,51.09,6.72,0.65
2016-08-25,50.53,6.65,0.66
2016-08-26,50.28,6.58,0.66
2016-08-29,51.58,6.75,0.64
2016-08-30,51.8,6.78,0.64
2016-08-31,52.43,6.86,0.63
2016-09-01,51.84,6.79,0.64
2016-09-02,52.0,6.81,0.64
2016-09-06,52.34,6.85,0.63
2016-09-07,52.17,6.73,0.55
2016-09-08,52.54,6.77,0.55
2016-09-09,51.84,6.68,0.56
2016-09-12,50.1,6.46,0.58
2016-09-14,50.66,6.53,0.57
2016-09-15,52.08,6.71,0.56
2016-09-16,51.3,6.62,0.64
2016-09-19,51.71,6.67,0.64
2016-09-20,51.62,6.66,0.64
2016-09-21,51.66,6.67,0.64
2016-09-22,52.01,6.71,0.63
2016-09-23,51.39,6.69,0.63
2016-09-26,51.46,6.7,0.63
2016-09-27,51.56,6.7,0.63
2016-09-28,53.68,6.85,0.62
2016-09-29,52.6,6.71,0.63
2016-09-30,53.07,6.77,0.63
2016-10-03,55.51,7.13,0.59
2016-10-04,54.57,7.01,0.61
2016-10-05,55.23,7.07,0.6
2016-10-06,54.45,6.96,0.61
2016-10-07,55.73,7.09,0.6
2016-10-10,55.69,7.1,0.6
2016-10-13,53.84,6.56,0.62
2016-10-14,53.24,6.43,0.63
2016-10-17,51.12,6.23,0.65
2016-10-18,52.02,6.34,0.64
2016-10-19,52.23,6.32,0.64
2016-10-20,53.04,6.48,0.63
2016-10-21,52.33,6.49,0.63
2016-10-24,51.64,6.43,0.64
2016-10-25,51.95,6.44,0.64
2016-10-26,48.33,6.44,0.64
2016-10-27,47.61,6.33,0.65
2016-10-28,48.51,6.45,0.64
2016-10-30,48.71,6.48,0.63
2016-11-01,48.0,6.38,0.64
2016-11-02,47.22,6.28,0.65
2016-11-03,46.91,6.24,0.66
2016-11-04,46.82,6.23,0.66
2016-11-07,47.08,6.27,0.66
2016-11-08,48.23,6.27,0.66
2016-11-09,48.2,6.2,0.66
2016-11-10,48.42,6.27,0.66
2016-11-11,46.28,6.0,0.69
2016-11-15,44.98,5.76,0.71
2016-11-16,46.15,5.92,0.69
2016-11-17,45.21,5.79,0.71
2016-11-18,44.15,5.67,0.73
2016-11-21,42.41,5.51,0.75
2016-11-22,43.26,5.62,0.73
2016-11-23,43.83,5.69,0.72
2016-11-24,42.89,5.55,0.74
2016-11-25,42.72,5.67,0.73
2016-11-28,43.7,5.8,0.71
2016-11-29,43.8,5.81,0.71
2016-11-30,44.18,5.83,0.71
2016-12-01,44.24,5.83,0.71
2016-12-02,42.72,5.65,0.73
2016-12-05,43.06,5.7,0.73
2016-12-06,43.12,5.7,0.73
2016-12-07,42.74,5.65,0.73
2016-12-08,43.59,5.76,0.72
2016-12-09,44.41,5.87,0.71
2016-12-12,43.53,5.79,0.72
2016-12-13,43.03,5.72,0.72
2016-12-14,42.94,5.71,0.73
2016-12-15,42.67,5.67,0.73
2016-12-16,42.8,5.69,0.73
2016-12-19,42.58,5.65,0.73
2016-12-20,42.94,5.7,0.73
2016-12-21,42.25,5.65,0.73
2016-12-22,42.4,5.63,0.74
2016-12-23,42.42,5.63,0.73
2016-12-26,41.55,5.52,0.75
2016-12-27,42.35,5.58,0.74
2016-12-28,42.9,5.65,0.73
2016-12-29,43.34,5.71,0.72
2016-12-30,43.91,5.78,0.72
2017-01-02,43.67,5.79,0.71
2017-01-03,44.45,5.9,0.7
2017-01-04,44.9,5.91,0.7
2017-01-05,45.65,6.01,0.69
2017-01-06,45.13,5.94,0.7
2017-01-09,45.37,5.97,0.69
2017-01-10,45.45,5.99,0.69
2017-01-11,46.12,6.08,0.68
2017-01-12,46.09,6.08,0.68
2017-01-13,46.13,6.08,0.68
2017-01-16,46.24,6.1,0.68
2017-01-17,45.73,6.08,0.68
2017-01-18,46.2,6.11,0.68
2017-01-19,46.09,6.1,0.68
2017-01-20,45.11,5.99,0.69
2017-01-23,46.7,6.11,0.68
2017-01-24,47.59,6.1,0.68
2017-01-25,48.71,6.24,0.66
2017-01-27,48.57,6.22,0.67
2017-01-30,48.57,6.22,0.67
2017-01-31,47.92,6.13,0.67
2017-02-01,49.0,6.27,0.66
2017-02-02,50.03,6.29,0.66
2017-02-03,50.62,6.43,0.64
2017-02-06,51.26,6.49,0.64
2017-02-07,51.24,6.49,0.64
2017-02-08,51.86,6.57,0.63
2017-02-09,52.81,6.69,0.62
2017-02-10,52.93,6.66,0.62
2017-02-13,52.41,6.69,0.62
2017-02-14,52.15,6.62,0.62
2017-02-15,52.14,6.62,0.62
2017-02-16,52.12,6.62,0.63
2017-02-17,52.11,6.62,0.63
2017-02-20,53.31,6.68,0.62
2017-02-21,53.3,6.68,0.62
2017-02-22,52.81,6.62,0.63
2017-02-23,52.87,6.63,0.62
2017-02-27,51.92,6.59,0.63
2017-02-28,52.4,6.65,0.62
2017-03-01,52.37,6.65,0.62
2017-03-02,51.73,6.57,0.63
2017-03-03,52.12,6.62,0.63
2017-03-06,52.45,6.66,0.62
2017-03-07,52.78,6.7,0.62
2017-03-08,53.36,6.74,0.62
2017-03-09,53.66,6.78,0.61
2017-03-10,53.7,6.78,0.61
2017-03-14,54.22,6.85,0.61
2017-03-15,54.52,6.89,0.6
2017-03-16,54.71,6.91,0.6
2017-03-17,54.16,6.84,0.61
2017-03-20,54.35,6.87,0.6
2017-03-21,54.48,6.88,0.6
2017-03-22,54.06,6.83,0.61
2017-03-23,54.47,6.88,0.6
2017-03-24,54.28,6.86,0.61
2017-03-27,54.37,6.87,0.6
2017-03-28,55.29,6.98,0.59
2017-03-29,55.29,6.98,0.59
2017-03-30,55.51,7.01,0.59
