date,pe,pb,div_yield
2015-11-30,13.56,0.65,3.99
2015-12-01,13.99,0.67,3.86
2015-12-02,14.11,0.68,3.83
2015-12-03,13.91,0.67,3.89
2015-12-04,14.33,0.67,3.89
2015-12-07,14.27,0.67,3.91
2015-12-08,13.81,0.64,4.04
2015-12-09,13.37,0.62,4.17
2015-12-10,13.63,0.64,4.09
2015-12-11,13.71,0.64,4.07
2015-12-14,14.03,0.65,3.98
2015-12-15,14.0,0.65,3.99
2015-12-16,14.01,0.65,3.98
2015-12-17,14.48,0.68,3.85
2015-12-18,14.29,0.67,3.9
2015-12-21,14.52,0.68,3.84
2015-12-22,14.37,0.67,3.88
2015-12-23,14.68,0.68,3.8
2015-12-24,14.8,0.69,3.77
2015-12-28,14.64,0.68,3.81
2015-12-29,14.61,0.68,3.82
2015-12-30,14.66,0.68,3.81
2015-12-31,14.73,0.69,3.79
2016-01-01,14.76,0.69,3.78
2016-01-04,14.55,0.68,3.83
2016-01-05,15.02,0.7,3.71
2016-01-06,14.75,0.69,3.78
2016-01-07,14.05,0.66,3.97
2016-01-08,14.12,0.66,3.95
2016-01-11,14.08,0.66,3.96
2016-01-12,13.91,0.65,4.01
2016-01-13,13.81,0.64,4.04
2016-01-14,13.58,0.63,4.11
2016-01-15,13.1,0.61,4.26
2016-01-18,12.96,0.6,4.31
2016-01-19,13.04,0.61,4.28
2016-01-20,12.63,0.59,4.42
2016-01-21,12.52,0.58,4.46
2016-01-22,13.08,0.61,4.27
2016-01-25,13.29,0.62,4.2
2016-01-27,13.31,0.62,4.19
2016-01-28,13.23,0.62,4.22
2016-01-29,13.37,0.62,4.17
2016-02-01,12.84,0.63,4.16
2016-02-02,18.05,0.6,4.37
2016-02-03,17.59,0.58,4.49
2016-02-04,18.15,0.6,4.37
2016-02-05,18.83,0.62,4.21
2016-02-08,18.67,0.61,4.25
2016-02-09,18.32,0.6,4.33
2016-02-10,22.08,0.6,4.35
2016-02-11,21.11,0.57,4.55
2016-02-12,20.78,0.56,4.63
2016-02-15,24.94,0.62,4.21
2016-02-16,24.46,0.61,4.29
2016-02-17,24.71,0.61,4.25
2016-02-18,27.95,0.62,4.21
2016-02-19,27.1,0.62,4.19
2016-02-22,27.27,0.63,4.16
2016-02-23,26.96,0.62,4.21
2016-02-24,26.14,0.6,4.34
2016-02-25,26.18,0.6,4.33
2016-02-26,30.02,0.61,4.28
2016-02-29,30.1,0.61,4.27
2016-03-01,30.92,0.63,4.15
2016-03-02,31.57,0.64,4.07
2016-03-03,33.09,0.67,3.88
2016-03-04,33.68,0.69,3.81
2016-03-08,34.48,0.7,3.73
2016-03-09,34.17,0.7,3.76
2016-03-10,34.43,0.7,3.73
2016-03-11,34.21,0.7,3.75
2016-03-14,33.97,0.69,3.78
2016-03-15,34.08,0.69,3.77
2016-03-16,33.76,0.69,3.8
2016-03-17,33.75,0.69,3.81
2016-03-18,34.6,0.7,3.71
2016-03-21,34.73,0.71,3.7
2016-03-22,35.17,0.72,3.65
2016-03-23,35.9,0.73,3.58
2016-03-28,34.14,0.69,3.76
2016-03-29,34.28,0.7,3.75
2016-03-30,35.5,0.72,3.62
2016-03-31,35.24,0.72,3.64
2016-04-01,27.53,0.77,3.77
2016-04-04,27.69,0.78,3.74
2016-04-05,26.96,0.76,3.84
2016-04-06,27.52,0.77,3.77
2016-04-07,27.33,0.77,3.79
2016-04-08,27.42,0.77,3.78
2016-04-11,27.97,0.79,3.71
2016-04-12,27.67,0.78,3.75
2016-04-13,28.31,0.8,3.66
2016-04-18,28.59,0.8,3.63
2016-04-20,30.05,0.84,3.48
2016-04-21,30.07,0.84,3.48
2016-04-22,29.96,0.83,3.49
2016-04-25,29.58,0.82,3.54
2016-04-26,30.25,0.84,3.46
2016-04-27,30.22,0.84,3.46
2016-04-28,29.52,0.82,3.55
2016-04-29,31.29,0.86,3.59
2016-05-02,23.24,0.87,3.56
2016-05-03,22.97,0.86,3.6
2016-05-04,22.1,0.83,3.74
2016-05-05,22.14,0.83,3.73
2016-05-06,22.12,0.83,3.74
2016-05-09,22.22,0.83,3.72
2016-05-10,21.78,0.82,3.77
2016-05-11,21.76,0.82,3.77
2016-05-12,21.94,0.83,3.74
2016-05-13,21.45,0.81,3.83
2016-05-16,21.62,0.82,3.79
2016-05-17,21.61,0.82,3.8
2016-05-18,21.76,0.82,3.77
2016-05-19,21.42,0.81,3.83
2016-05-20,21.33,0.81,3.85
2016-05-23,21.21,0.8,3.87
2016-05-24,21.08,0.8,3.87
2016-05-25,21.33,0.81,3.82
2016-05-26,21.54,0.82,3.78
2016-05-27,22.33,0.82,3.69
2016-05-30,21.38,0.84,3.62
2016-05-31,21.08,0.85,3.57
2016-06-01,21.45,0.84,3.61
2016-06-02,21.85,0.86,3.54
2016-06-03,21.8,0.85,3.55
2016-06-06,21.83,0.85,3.54
2016-06-07,22.13,0.87,3.49
2016-06-08,22.18,0.87,3.49
2016-06-09,22.49,0.88,3.44
2016-06-10,22.51,0.87,3.38
2016-06-13,22.22,0.86,3.42
2016-06-14,22.38,0.87,3.39
2016-06-15,22.56,0.87,3.37
2016-06-16,22.71,0.88,3.35
2016-06-17,22.69,0.88,3.89
2016-06-20,23.06,0.89,3.83
2016-06-21,23.03,0.89,3.83
2016-06-22,23.01,0.89,3.83
2016-06-23,23.09,0.89,3.82
2016-06-24,22.22,0.86,3.97
2016-06-27,22.32,0.87,3.95
2016-06-28,22.53,0.87,3.92
2016-06-29,22.81,0.88,3.87
2016-06-30,23.23,0.9,3.8
2016-07-01,23.42,0.91,3.77
2016-07-04,23.78,0.92,3.71
2016-07-05,23.85,0.92,3.7
2016-07-07,23.77,0.92,3.71
2016-07-08,23.68,0.92,3.73
2016-07-11,24.23,0.94,3.64
2016-07-12,25.03,0.97,3.52
2016-07-13,25.45,0.99,3.47
2016-07-14,27.79,0.99,3.45
2016-07-15,28.02,1.0,3.43
2016-07-18,27.67,0.99,3.47
2016-07-19,27.8,0.99,3.45
2016-07-20,27.88,0.99,3.44
2016-07-21,27.66,0.99,3.47
2016-07-22,28.13,1.0,3.41
2016-07-25,28.29,1.01,3.39
2016-07-26,28.26,1.01,3.4
2016-07-27,28.52,1.03,3.34
2016-07-28,28.27,1.02,3.37
2016-07-29,28.06,1.02,3.39
2016-08-01,28.48,1.03,3.34
2016-08-02,27.93,1.01,3.41
2016-08-03,27.93,1.01,3.41
2016-08-04,28.4,1.03,3.35
2016-08-05,29.16,1.06,3.26
2016-08-08,29.33,1.06,3.24
2016-08-09,29.08,1.05,3.27
2016-08-10,28.89,1.05,3.29
2016-08-11,28.66,1.04,3.32
2016-08-12,29.08,1.04,3.27
2016-08-16,29.54,1.05,3.22
2016-08-17,30.12,1.07,3.16
2016-08-18,30.06,1.07,3.17
2016-08-19,30.46,1.08,3.12
2016-08-22,30.22,1.08,3.15
2016-08-23,30.09,1.07,3.16
2016-08-24,30.07,1.07,3.16
2016-08-25,29.58,1.05,3.22
2016-08-26,27.03,1.07,3.31
2016-08-29,27.32,1.08,3.28
2016-08-30,27.61,1.09,3.24
2016-08-31,27.18,1.07,3.29
2016-09-01,27.27,1.08,3.28
2016-09-02,27.23,1.07,3.29
2016-09-06,27.61,1.09,3.24
2016-09-07,27.88,1.1,3.21
2016-09-08,28.17,1.11,3.18
2016-09-09,27.61,1.1,3.24
2016-09-12,26.33,1.05,3.4
2016-09-14,26.44,1.06,3.39
2016-09-15,26.37,1.05,3.4
2016-09-16,25.96,1.04,3.88
2016-09-19,26.32,1.05,3.83
2016-09-20,26.42,1.06,3.81
2016-09-21,26.63,1.06,3.79
2016-09-22,27.58,1.08,3.74
2016-09-23,25.26,1.08,3.74
2016-09-26,25.23,1.08,3.74
2016-09-27,25.07,1.07,3.77
2016-09-28,25.62,1.09,3.69
2016-09-29,24.59,1.05,3.82
2016-09-30,25.79,1.06,3.76
2016-10-03,26.69,1.09,3.66
2016-10-04,29.61,1.1,3.62
2016-10-05,29.86,1.11,3.6
2016-10-06,29.9,1.11,3.59
2016-10-07,30.2,1.13,3.55
2016-10-10,30.7,1.15,3.49
2016-10-13,30.08,1.13,3.56
2016-10-14,29.94,1.12,3.58
2016-10-17,29.59,1.11,3.62
2016-10-18,30.22,1.13,3.55
2016-10-19,30.29,1.14,3.54
2016-10-20,30.73,1.15,3.49
2016-10-21,30.5,1.14,3.52
2016-10-24,30.53,1.14,3.52
2016-10-25,30.42,1.14,3.53
2016-10-26,29.97,1.12,3.58
2016-10-27,29.72,1.11,3.61
2016-10-28,30.39,1.14,3.53
2016-10-30,30.42,1.14,3.53
2016-11-01,31.55,1.18,3.4
2016-11-02,31.28,1.17,3.43
2016-11-03,31.06,1.16,3.46
2016-11-04,30.45,1.14,3.54
2016-11-07,31.06,1.16,3.47
2016-11-08,31.9,1.17,3.45
2016-11-09,31.47,1.15,3.51
2016-11-10,32.13,1.22,3.3
2016-11-11,31.45,1.2,3.37
2016-11-15,29.86,1.13,3.55
2016-11-16,43.88,1.13,3.58
2016-11-17,44.14,1.13,3.56
2016-11-18,43.54,1.12,3.61
2016-11-21,42.05,1.08,3.74
2016-11-22,43.29,1.11,3.63
2016-11-23,44.4,1.14,3.54
2016-11-24,44.96,1.15,3.5
2016-11-25,42.63,1.2,3.57
2016-11-28,43.05,1.21,3.53
2016-11-29,42.95,1.21,3.54
2016-11-30,40.93,1.22,3.52
2016-12-01,40.19,1.19,3.58
2016-12-02,39.98,1.18,3.62
2016-12-05,40.58,1.2,3.57
2016-12-06,40.89,1.21,3.54
2016-12-07,40.99,1.21,3.53
2016-12-08,42.18,1.25,3.43
2016-12-09,42.13,1.24,3.44
2016-12-12,42.06,1.24,3.44
2016-12-13,41.61,1.23,3.48
2016-12-14,40.99,1.21,3.53
2016-12-15,41.0,1.21,3.53
2016-12-16,41.43,1.19,3.59
2016-12-19,42.2,1.18,3.62
2016-12-20,41.85,1.17,3.65
2016-12-21,42.07,1.18,3.64
2016-12-22,41.1,1.14,3.74
2016-12-23,40.98,1.14,3.75
2016-12-26,39.75,1.11,3.87
2016-12-27,40.77,1.13,3.77
2016-12-28,40.71,1.13,3.78
2016-12-29,41.33,1.15,3.72
2016-12-30,38.44,1.14,3.96
2017-01-02,39.2,1.17,3.88
2017-01-03,39.34,1.17,3.87
2017-01-04,39.29,1.17,3.87
2017-01-05,40.55,1.21,3.75
2017-01-06,40.54,1.21,3.75
2017-01-09,40.48,1.2,3.76
2017-01-10,40.93,1.22,3.71
2017-01-11,42.7,1.27,3.55
2017-01-12,42.75,1.28,3.55
2017-01-13,42.66,1.27,3.56
2017-01-16,43.08,1.29,3.52
2017-01-17,42.44,1.27,3.58
2017-01-18,43.45,1.3,3.49
2017-01-19,43.44,1.3,3.49
2017-01-20,42.39,1.26,3.58
2017-01-23,43.55,1.3,3.49
2017-01-24,44.25,1.32,3.43
2017-01-25,44.93,1.34,3.38
2017-01-27,44.94,1.34,3.38
2017-01-30,44.86,1.34,3.38
2017-01-31,44.36,1.32,3.42
2017-02-01,45.44,1.36,3.34
2017-02-02,29.08,1.36,3.34
2017-02-03,28.91,1.35,3.36
2017-02-06,28.82,1.35,3.37
2017-02-07,28.45,1.33,3.41
2017-02-08,28.7,1.34,3.38
2017-02-09,28.5,1.33,3.4
2017-02-10,27.58,1.33,3.42
2017-02-13,27.63,1.35,3.47
2017-02-14,27.38,1.33,3.5
2017-02-15,27.05,1.31,3.55
2017-02-16,27.63,1.34,3.48
2017-02-17,27.42,1.33,3.5
2017-02-20,25.66,1.36,3.43
2017-02-21,25.75,1.36,3.42
2017-02-22,25.12,1.36,3.44
2017-02-23,25.23,1.36,3.43
2017-02-27,24.98,1.36,3.48
2017-02-28,25.11,1.36,3.46
2017-03-01,25.57,1.39,3.4
2017-03-02,25.42,1.38,3.42
2017-03-03,25.59,1.39,3.4
2017-03-06,25.61,1.39,3.4
2017-03-07,25.16,1.37,3.46
2017-03-08,24.68,1.34,3.52
2017-03-09,24.51,1.33,3.55
2017-03-10,24.37,1.32,3.57
2017-03-14,24.35,1.32,3.57
2017-03-15,24.46,1.33,3.56
2017-03-16,25.18,1.37,3.45
2017-03-17,25.11,1.36,3.46
2017-03-20,25.1,1.36,3.46
2017-03-21,25.05,1.36,3.47
2017-03-22,24.72,1.34,3.52
2017-03-23,25.0,1.36,3.48
2017-03-24,25.08,1.36,3.47
2017-03-27,24.41,1.33,3.56
2017-03-28,24.57,1.33,3.54
2017-03-29,24.66,1.34,3.53
2017-03-30,24.58,1.33,3.54
2017-03-31,20.77,1.4,3.61
2017-04-03,20.84,1.4,3.6
2017-04-05,21.05,1.42,3.56
2017-04-06,21.11,1.42,3.55
2017-04-07,20.87,1.4,3.59
2017-04-10,21.06,1.42,3.56
2017-04-11,20.74,1.39,3.61
2017-04-12,20.6,1.39,3.64
2017-04-13,20.03,1.35,3.74
2017-04-17,19.81,1.33,3.78
2017-04-18,19.46,1.31,3.85
2017-04-19,19.56,1.32,3.83
2017-04-20,19.59,1.32,3.83
2017-04-21,19.49,1.31,3.85
2017-04-24,19.9,1.34,3.76
2017-04-25,20.04,1.34,3.73
2017-04-26,20.12,1.35,3.71
2017-04-27,19.93,1.34,3.75
2017-04-28,20.24,1.36,3.69
2017-05-02,20.12,1.35,3.72
2017-05-03,20.07,1.35,3.72
2017-05-04,19.92,1.34,3.75
2017-05-05,19.43,1.3,3.85
2017-05-08,19.27,1.31,3.92
2017-05-09,19.42,1.32,3.89
2017-05-10,19.57,1.33,3.86
2017-05-11,19.68,1.34,3.84
2017-05-12,19.66,1.34,3.85
2017-05-15,20.11,1.37,3.76
2017-05-16,20.01,1.36,3.78
2017-05-17,20.46,1.4,3.7
2017-05-18,19.89,1.36,3.8
2017-05-19,19.87,1.35,3.81
2017-05-22,14.93,1.35,3.83
2017-05-23,14.87,1.34,3.84
2017-05-24,14.53,1.31,3.93
2017-05-25,14.8,1.33,3.86
2017-05-26,15.26,1.45,3.52
2017-05-29,15.23,1.45,3.53
2017-05-30,15.28,1.45,3.52
2017-05-31,15.05,1.43,3.57
2017-06-01,14.91,1.42,3.61
2017-06-02,14.89,1.42,3.61
2017-06-05,14.81,1.41,3.63
2017-06-06,14.76,1.4,3.64
2017-06-07,15.03,1.42,3.61
2017-06-08,15.1,1.43,3.58
2017-06-09,15.32,1.45,3.52
2017-06-12,14.92,1.45,3.53
2017-06-13,14.68,1.43,3.56
2017-06-14,14.58,1.43,3.59
2017-06-15,14.49,1.42,3.6
2017-06-16,14.48,1.42,3.6
2017-06-19,14.02,1.44,3.54
2017-06-20,14.05,1.45,3.53
2017-06-21,13.89,1.43,3.57
2017-06-22,13.7,1.41,3.62
2017-06-23,13.6,1.4,3.65
2017-06-27,13.57,1.4,3.66
2017-06-28,13.79,1.42,3.6
2017-06-29,14.07,1.45,3.53
2017-06-30,14.07,1.45,3.53
2017-07-03,14.33,1.47,3.46
2017-07-04,14.34,1.48,3.46
2017-07-05,14.5,1.49,3.42
2017-07-06,14.55,1.5,3.41
2017-07-07,14.52,1.49,3.42
2017-07-10,14.72,1.52,3.37
2017-07-11,14.65,1.51,3.39
2017-07-12,14.7,1.51,3.38
2017-07-13,14.83,1.53,3.35
2017-07-14,14.77,1.52,3.36
2017-07-17,14.91,1.53,3.33
2017-07-18,14.88,1.53,3.33
2017-07-19,15.17,1.56,3.27
2017-07-20,15.03,1.55,3.3
2017-07-21,15.06,1.54,3.29
2017-07-24,14.99,1.53,3.31
2017-07-25,15.18,1.55,3.27
2017-07-26,15.44,1.57,3.21
2017-07-27,15.21,1.56,3.25
2017-07-28,15.01,1.54,3.29
2017-07-31,15.25,1.56,3.24
2017-08-01,15.4,1.58,3.21
2017-08-02,15.37,1.58,3.21
2017-08-03,15.07,1.55,3.28
2017-08-04,15.39,1.81,3.28
2017-08-07,15.58,1.83,3.24
2017-08-08,15.81,1.86,3.2
2017-08-09,15.77,1.85,3.2
2017-08-10,15.52,1.82,3.26
2017-08-11,15.0,1.76,3.37
2017-08-14,15.51,1.82,3.26
2017-08-16,15.78,1.85,3.2
2017-08-17,15.89,1.87,3.18
2017-08-18,16.11,1.85,3.2
2017-08-21,15.9,1.83,3.25
2017-08-22,15.87,1.83,3.24
2017-08-23,16.15,1.86,3.19
2017-08-24,16.22,1.87,3.17
2017-08-28,16.28,1.88,3.16
2017-08-29,16.1,1.86,3.2
2017-08-30,16.53,1.9,3.12
2017-08-31,16.51,1.9,3.12
2017-09-01,16.84,1.94,3.06
2017-09-04,16.86,1.94,3.05
2017-09-05,16.98,1.96,3.03
2017-09-06,17.11,1.97,3.01
2017-09-07,17.31,2.0,2.97
2017-09-08,17.34,2.01,2.98
2017-09-11,17.44,2.02,2.97
2017-09-12,17.61,2.04,2.94
2017-09-13,17.43,2.02,2.97
2017-09-14,17.32,2.01,2.99
2017-09-15,17.38,2.01,2.98
2017-09-18,17.51,2.03,2.95
2017-09-19,17.38,2.01,2.98
2017-09-20,17.37,2.01,2.98
2017-09-21,17.26,2.0,3.0
2017-09-22,16.57,1.92,3.12
2017-09-25,16.37,1.9,3.16
2017-09-26,16.76,1.94,3.08
2017-09-27,16.5,1.91,3.13
2017-09-28,16.62,1.92,3.11
2017-09-29,17.24,1.63,4.21
2017-10-03,17.45,1.65,4.16
2017-10-04,17.42,1.65,4.17
2017-10-05,17.47,1.65,4.15
2017-10-06,18.02,1.71,4.03
2017-10-09,18.05,1.71,4.02
2017-10-10,18.07,1.71,4.02
2017-10-11,17.81,1.69,4.07
2017-10-12,18.17,1.72,3.99
2017-10-13,18.38,1.74,3.95
2017-10-16,18.72,1.77,3.87
2017-10-17,18.78,1.78,3.86
2017-10-18,18.71,1.77,3.87
2017-10-19,18.55,1.76,3.91
2017-10-23,18.66,1.77,3.88
2017-10-24,18.73,1.78,3.87
2017-10-25,18.75,1.78,3.86
2017-10-26,19.13,1.82,3.78
2017-10-27,19.1,1.82,3.78
2017-10-30,19.09,1.81,3.79
2017-10-31,18.77,1.79,3.43
2017-11-01,18.01,1.82,3.37
2017-11-02,17.99,1.82,3.37
2017-11-03,17.97,1.82,3.37
2017-11-06,17.67,1.82,3.36
2017-11-07,17.37,1.79,3.42
2017-11-08,17.17,1.77,3.47
2017-11-09,17.24,1.78,3.45
2017-11-10,17.31,1.79,3.43
2017-11-13,16.91,1.75,3.5
2017-11-14,16.82,1.74,3.52
2017-11-15,16.32,1.69,3.63
2017-11-16,16.47,1.71,3.59
2017-11-17,16.78,1.74,3.52
2017-11-20,17.0,1.76,3.48
2017-11-21,17.27,1.76,3.47
2017-11-22,17.14,1.75,3.5
2017-11-23,16.97,1.75,3.51
2017-11-24,16.87,1.74,3.53
2017-11-27,16.75,1.73,3.55
2017-11-28,16.74,1.72,3.55
2017-11-29,16.67,1.72,3.57
2017-11-30,16.48,1.68,3.34
2017-12-01,16.21,1.66,3.39
2017-12-04,16.27,1.66,3.38
2017-12-05,16.13,1.65,3.41
2017-12-06,15.82,1.62,3.47
2017-12-07,16.1,1.65,3.41
2017-12-08,16.32,1.67,3.37
2017-12-11,16.35,1.67,3.36
2017-12-12,16.21,1.66,3.39
2017-12-13,15.96,1.63,3.44
2017-12-14,15.98,1.64,3.44
2017-12-15,16.4,1.68,3.35
2017-12-18,16.68,1.71,3.29
2017-12-19,16.92,1.73,3.24
2017-12-20,17.03,1.74,3.22
2017-12-21,17.18,1.76,3.2
2017-12-22,17.18,1.76,3.2
2017-12-26,17.39,1.78,3.16
2017-12-27,17.36,1.78,3.16
2017-12-28,17.72,1.81,3.1
2017-12-29,17.4,1.8,3.16
2018-01-01,17.31,1.79,3.17
2018-01-02,17.41,1.8,3.16
2018-01-03,17.66,1.83,3.11
2018-01-04,18.16,1.88,3.03
2018-01-05,18.24,1.89,3.01
2018-01-08,18.4,1.9,2.99
2018-01-09,18.4,1.9,2.99
2018-01-10,18.41,1.9,2.98
2018-01-11,18.39,1.9,2.99
2018-01-12,18.5,1.91,2.97
2018-01-15,18.53,1.92,2.97
2018-01-16,18.0,1.86,3.05
2018-01-17,18.18,1.88,3.02
2018-01-18,17.66,1.83,3.11
2018-01-19,17.81,1.84,3.09
2018-01-22,17.69,1.83,3.11
2018-01-23,18.41,1.9,2.98
2018-01-24,18.1,1.87,3.04
2018-01-25,18.27,1.89,3.01
2018-01-29,18.24,1.89,3.01
2018-01-30,18.13,1.88,3.03
2018-01-31,18.15,1.89,3.04
2018-02-01,18.17,1.9,3.04
2018-02-02,17.63,1.84,3.13
2018-02-05,17.53,1.83,3.15
2018-02-06,17.24,1.8,3.2
2018-02-07,17.32,1.81,3.19
2018-02-08,17.57,1.83,3.14
2018-02-09,17.78,1.86,3.1
2018-02-12,17.97,1.88,3.07
2018-02-14,17.72,1.87,3.07
2018-02-15,17.8,1.89,3.05
2018-02-16,17.54,1.86,3.1
2018-02-19,17.24,1.83,3.15
2018-02-20,17.43,1.85,3.12
2018-02-21,17.19,1.82,3.16
2018-02-22,16.92,1.82,3.17
2018-02-23,17.46,1.88,3.07
2018-02-26,17.65,1.9,3.04
2018-02-27,17.3,1.88,3.06
2018-02-28,16.94,1.86,3.1
2018-03-01,16.8,1.84,3.12
2018-03-05,16.24,1.78,3.23
2018-03-06,16.18,1.78,3.24
2018-03-07,16.0,1.76,3.28
2018-03-08,15.93,1.75,3.29
2018-03-09,15.64,1.72,3.35
2018-03-12,15.97,1.75,3.28
2018-03-13,16.06,1.76,3.27
2018-03-14,15.97,1.75,3.28
2018-03-15,15.92,1.75,3.29
2018-03-16,15.53,1.71,3.37
2018-03-19,15.09,1.66,3.47
2018-03-20,15.04,1.66,3.48
2018-03-21,14.97,1.65,3.49
2018-03-22,15.02,1.65,3.48
2018-03-23,14.58,1.61,3.59
2018-03-26,14.9,1.64,3.51
2018-03-27,15.17,1.67,3.45
