date,pe,pb,div_yield
2015-11-30,21.2,1.34,2.27
2015-12-01,21.32,1.35,2.25
2015-12-02,21.24,1.34,2.26
2015-12-03,21.11,1.33,2.28
2015-12-04,21.3,1.32,2.3
2015-12-07,21.28,1.32,2.3
2015-12-08,20.89,1.3,2.34
2015-12-09,20.44,1.27,2.4
2015-12-10,20.73,1.29,2.36
2015-12-11,20.4,1.26,2.4
2015-12-14,20.45,1.27,2.39
2015-12-15,20.56,1.27,2.38
2015-12-16,20.68,1.28,2.37
2015-12-17,21.08,1.31,2.32
2015-12-18,21.05,1.28,2.33
2015-12-21,21.23,1.29,2.31
2015-12-22,21.07,1.28,2.32
2015-12-23,21.18,1.29,2.31
2015-12-24,21.37,1.3,2.29
2015-12-28,21.43,1.3,2.29
2015-12-29,21.68,1.32,2.24
2015-12-30,21.69,1.32,2.24
2015-12-31,21.84,1.33,2.22
2016-01-01,22.21,1.35,2.19
2016-01-04,21.91,1.33,2.22
2016-01-05,22.16,1.35,2.19
2016-01-06,22.04,1.34,2.21
2016-01-07,21.21,1.29,2.29
2016-01-08,21.5,1.31,2.26
2016-01-11,21.48,1.31,2.27
2016-01-12,21.22,1.29,2.3
2016-01-13,20.86,1.27,2.34
2016-01-14,20.49,1.25,2.38
2016-01-15,19.58,1.19,2.49
2016-01-18,18.98,1.15,2.57
2016-01-19,19.36,1.18,2.52
2016-01-20,18.84,1.15,2.59
2016-01-21,18.95,1.15,2.58
2016-01-22,19.53,1.19,2.5
2016-01-25,19.5,1.19,2.49
2016-01-27,19.6,1.2,2.47
2016-01-28,19.38,1.2,2.48
2016-01-29,19.57,1.21,2.45
2016-02-01,19.44,1.21,2.46
2016-02-02,19.03,1.19,2.49
2016-02-03,18.54,1.16,2.56
2016-02-04,18.38,1.15,2.58
2016-02-05,18.89,1.18,2.51
2016-02-08,18.94,1.18,2.52
2016-02-09,18.55,1.15,2.57
2016-02-10,19.38,1.14,2.6
2016-02-11,18.27,1.08,2.76
2016-02-12,18.02,1.06,2.79
2016-02-15,24.26,1.11,2.67
2016-02-16,23.4,1.08,2.75
2016-02-17,23.61,1.09,2.73
2016-02-18,23.65,1.09,2.71
2016-02-19,23.51,1.1,2.7
2016-02-22,23.64,1.1,2.69
2016-02-23,23.29,1.09,2.73
2016-02-24,23.11,1.08,2.75
2016-02-25,22.67,1.06,2.8
2016-02-26,22.78,1.06,2.8
2016-02-29,22.83,1.07,2.8
2016-03-01,23.67,1.11,2.7
2016-03-02,24.38,1.14,2.62
2016-03-03,24.72,1.16,2.58
2016-03-04,25.05,1.17,2.55
2016-03-08,25.11,1.17,2.54
2016-03-09,25.39,1.19,2.51
2016-03-10,25.22,1.18,2.53
2016-03-11,25.25,1.18,2.53
2016-03-14,25.31,1.18,2.52
2016-03-15,25.24,1.18,2.53
2016-03-16,25.15,1.18,2.54
2016-03-17,25.2,1.18,2.53
2016-03-18,25.55,1.19,2.5
2016-03-21,26.02,1.22,2.45
2016-03-22,26.23,1.23,2.43
2016-03-23,26.3,1.23,2.43
2016-03-28,25.9,1.21,2.46
2016-03-29,25.87,1.21,2.47
2016-03-30,26.47,1.24,2.41
2016-03-31,26.86,1.26,2.38
2016-04-01,27.42,1.53,1.72
2016-04-04,27.43,1.53,1.72
2016-04-05,26.81,1.49,1.76
2016-04-06,27.02,1.5,1.75
2016-04-07,26.7,1.49,1.77
2016-04-08,26.95,1.5,1.75
2016-04-11,27.39,1.53,1.72
2016-04-12,27.69,1.55,1.7
2016-04-13,28.09,1.57,1.68
2016-04-18,28.37,1.58,1.66
2016-04-20,28.54,1.59,1.65
2016-04-21,28.22,1.58,1.66
2016-04-22,28.34,1.59,1.67
2016-04-25,28.26,1.58,1.67
2016-04-26,28.6,1.6,1.65
2016-04-27,28.49,1.6,1.65
2016-04-28,27.92,1.57,1.68
2016-04-29,27.83,1.57,1.68
2016-05-02,27.98,1.58,1.67
2016-05-03,27.65,1.56,1.69
2016-05-04,29.7,1.54,1.71
2016-05-05,29.65,1.54,1.71
2016-05-06,29.91,1.56,1.7
2016-05-09,30.32,1.58,1.67
2016-05-10,30.08,1.57,1.68
2016-05-11,31.8,1.57,1.68
2016-05-12,32.01,1.58,1.67
2016-05-13,31.89,1.57,1.68
2016-05-16,33.28,1.58,1.68
2016-05-17,33.59,1.58,1.67
2016-05-18,35.42,1.58,1.67
