date,pe,pb,div_yield
2015-11-30,21.74,2.79,1.65
2015-12-01,21.97,2.82,1.64
2015-12-02,21.99,2.82,1.63
2015-12-03,21.83,2.8,1.65
2015-12-04,21.66,2.78,1.66
2015-12-07,21.67,2.78,1.66
2015-12-08,21.46,2.75,1.67
2015-12-09,21.07,2.7,1.71
2015-12-10,21.23,2.72,1.69
2015-12-11,21.06,2.7,1.71
2015-12-14,21.17,2.71,1.7
2015-12-15,21.31,2.73,1.69
2015-12-16,21.4,2.74,1.68
2015-12-17,21.71,2.78,1.65
2015-12-18,21.72,2.78,1.65
2015-12-21,21.87,2.8,1.64
2015-12-22,21.8,2.79,1.65
2015-12-23,21.91,2.81,1.64
2015-12-24,21.93,2.81,1.64
2015-12-28,22.0,2.82,1.63
2015-12-29,22.07,2.83,1.63
2015-12-30,22.0,2.82,1.63
2015-12-31,22.14,2.84,1.62
2016-01-01,22.36,2.87,1.61
2016-01-04,22.12,2.84,1.62
2016-01-05,22.25,2.85,1.62
2016-01-06,22.18,2.84,1.62
2016-01-07,21.51,2.76,1.67
2016-01-08,21.73,2.78,1.65
2016-01-11,21.48,2.75,1.67
2016-01-12,21.35,2.74,1.68
2016-01-13,21.28,2.73,1.69
2016-01-14,21.14,2.7,1.7
2016-01-15,20.59,2.63,1.75
2016-01-18,20.05,2.57,1.8
2016-01-19,20.27,2.6,1.77
2016-01-20,19.89,2.55,1.81
2016-01-21,19.65,2.52,1.83
2016-01-22,20.11,2.57,1.79
2016-01-25,20.13,2.58,1.79
2016-01-27,20.11,2.58,1.79
2016-01-28,19.94,2.57,1.79
2016-01-29,20.31,2.61,1.76
2016-02-01,20.3,2.62,1.76
2016-02-02,21.62,2.57,1.79
2016-02-03,21.29,2.54,1.81
2016-02-04,21.29,2.54,1.82
2016-02-05,21.78,2.6,1.77
2016-02-08,21.6,2.59,1.78
2016-02-09,21.16,2.53,1.82
2016-02-10,21.34,2.5,1.84
2016-02-11,20.68,2.42,1.9
2016-02-12,20.62,2.42,1.9
2016-02-15,20.53,2.5,1.84
2016-02-16,20.01,2.44,1.89
2016-02-17,20.09,2.45,1.88
2016-02-18,20.2,2.46,1.87
2016-02-19,20.21,2.46,1.87
2016-02-22,20.35,2.48,1.86
2016-02-23,20.12,2.45,1.88
2016-02-24,19.83,2.42,1.91
2016-02-25,19.73,2.41,1.91
2016-02-26,20.03,2.41,1.9
2016-02-29,20.08,2.42,1.9
2016-03-01,20.73,2.5,1.84
2016-03-02,21.0,2.53,1.81
2016-03-03,21.15,2.55,1.8
2016-03-04,21.33,2.57,1.79
2016-03-08,21.36,2.57,1.78
2016-03-09,21.41,2.58,1.78
2016-03-10,21.32,2.57,1.79
2016-03-11,21.39,2.58,1.78
2016-03-14,21.45,2.59,1.78
2016-03-15,21.24,2.56,1.79
2016-03-16,21.16,2.55,1.8
2016-03-17,21.33,2.57,1.79
2016-03-18,21.45,2.58,1.78
2016-03-21,21.78,2.62,1.75
2016-03-22,21.86,2.63,1.74
2016-03-23,21.89,2.64,1.74
2016-03-28,21.57,2.6,1.77
2016-03-29,21.56,2.6,1.77
2016-03-30,21.9,2.64,1.74
2016-03-31,22.02,2.65,1.73
2016-04-01,22.27,2.64,1.77
2016-04-04,22.33,2.65,1.77
2016-04-05,22.0,2.61,1.8
2016-04-06,22.11,2.62,1.79
2016-04-07,22.01,2.61,1.8
2016-04-08,22.12,2.62,1.79
2016-04-11,22.32,2.65,1.77
2016-04-12,22.48,2.66,1.76
2016-04-13,22.73,2.69,1.74
2016-04-18,22.97,2.72,1.72
2016-04-20,23.03,2.73,1.72
2016-04-21,23.02,2.73,1.72
2016-04-22,23.06,2.73,1.72
2016-04-25,22.87,2.71,1.73
2016-04-26,23.01,2.73,1.72
2016-04-27,23.07,2.74,1.71
2016-04-28,22.8,2.7,1.73
2016-04-29,22.39,2.72,1.73
2016-05-02,21.5,2.76,1.7
2016-05-03,21.29,2.73,1.72
2016-05-04,20.95,2.69,1.74
2016-05-05,20.97,2.69,1.74
2016-05-06,21.08,2.71,1.73
2016-05-09,21.25,2.73,1.72
2016-05-10,21.26,2.73,1.72
2016-05-11,21.28,2.73,1.72
2016-05-12,21.5,2.76,1.7
2016-05-13,21.3,2.73,1.72
2016-05-16,21.11,2.7,1.73
2016-05-17,21.18,2.7,1.72
2016-05-18,21.21,2.7,1.72
2016-05-19,20.96,2.67,1.74
2016-05-20,20.82,2.65,1.76
2016-05-23,20.76,2.65,1.76
2016-05-24,22.59,2.64,1.76
2016-05-25,22.84,2.67,1.74
2016-05-26,23.26,2.7,1.73
2016-05-27,22.8,2.74,1.7
2016-05-30,24.11,2.75,1.69
2016-05-31,24.33,2.74,1.7
2016-06-01,24.35,2.74,1.7
2016-06-02,25.04,2.76,1.69
2016-06-03,25.05,2.76,1.69
2016-06-06,24.91,2.75,1.7
2016-06-07,25.02,2.76,1.69
2016-06-08,25.15,2.77,1.68
2016-06-09,25.08,2.76,1.69
2016-06-10,24.94,2.73,1.68
2016-06-13,24.77,2.71,1.69
2016-06-14,24.82,2.71,1.69
2016-06-15,25.0,2.73,1.68
2016-06-16,24.97,2.73,1.68
2016-06-17,24.97,2.74,1.69
2016-06-20,25.11,2.75,1.68
2016-06-21,25.16,2.76,1.67
2016-06-22,25.17,2.76,1.67
2016-06-23,25.2,2.76,1.67
2016-06-24,24.85,2.72,1.69
2016-06-27,25.09,2.75,1.68
2016-06-28,25.29,2.77,1.66
2016-06-29,25.55,2.8,1.65
2016-06-30,25.9,2.84,1.63
2016-07-01,26.27,2.88,1.6
2016-07-04,26.48,2.9,1.59
2016-07-05,26.45,2.9,1.59
2016-07-07,26.42,2.9,1.59
2016-07-08,26.48,2.9,1.59
2016-07-11,26.92,2.95,1.56
2016-07-12,27.13,2.97,1.55
2016-07-13,27.02,2.96,1.56
2016-07-14,27.65,2.97,1.55
2016-07-15,27.7,2.98,1.55
2016-07-18,27.51,2.96,1.56
2016-07-19,27.6,2.97,1.55
