date,pe,pb,div_yield
2015-11-30,58.22,6.17,0.53
2015-12-01,58.81,6.24,0.53
2015-12-02,59.39,6.3,0.52
2015-12-03,58.7,6.23,0.53
2015-12-04,58.99,6.26,0.52
2015-12-07,59.59,6.32,0.52
2015-12-08,58.81,6.24,0.53
2015-12-09,57.61,6.11,0.54
2015-12-10,57.59,6.11,0.54
2015-12-11,57.67,6.12,0.54
2015-12-14,58.2,6.17,0.53
2015-12-15,58.54,6.21,0.53
2015-12-16,58.96,6.25,0.52
2015-12-17,59.64,6.32,0.52
2015-12-18,59.09,6.27,0.52
2015-12-21,58.55,6.21,0.53
2015-12-22,58.74,6.23,0.53
2015-12-23,59.81,6.34,0.52
2015-12-24,59.76,6.34,0.52
2015-12-28,60.84,6.45,0.51
2015-12-29,60.9,6.46,0.51
2015-12-30,60.73,6.44,0.51
2015-12-31,60.61,6.43,0.51
2016-01-01,60.69,6.44,0.51
2016-01-04,59.44,6.3,0.52
2016-01-05,59.48,6.31,0.52
2016-01-06,59.14,6.27,0.52
2016-01-07,58.01,6.15,0.53
2016-01-08,58.19,6.17,0.53
2016-01-11,57.25,6.07,0.54
2016-01-12,57.45,6.09,0.54
2016-01-13,57.35,6.08,0.54
2016-01-14,57.6,6.11,0.54
2016-01-15,57.04,6.05,0.54
2016-01-18,56.21,5.96,0.55
2016-01-19,56.86,6.03,0.54
2016-01-20,56.4,5.98,0.55
2016-01-21,55.1,5.84,0.56
2016-01-22,56.44,5.99,0.55
2016-01-25,56.94,6.04,0.54
2016-01-27,57.49,6.1,0.54
2016-01-28,57.96,6.15,0.53
2016-01-29,59.55,6.32,0.52
2016-02-01,58.6,6.31,0.52
2016-02-02,57.01,6.14,0.53
2016-02-03,56.6,6.09,0.54
2016-02-04,55.96,6.03,0.54
2016-02-05,58.14,6.26,0.52
2016-02-08,55.63,6.18,0.53
2016-02-09,55.91,6.21,0.53
2016-02-10,44.0,6.1,0.54
2016-02-11,42.16,5.96,0.55
2016-02-12,42.03,5.95,0.55
2016-02-15,42.43,6.01,0.55
2016-02-16,41.46,5.88,0.56
2016-02-17,42.27,5.99,0.55
2016-02-18,43.11,6.11,0.54
2016-02-19,42.94,6.09,0.54
2016-02-22,43.49,6.17,0.53
2016-02-23,42.98,6.1,0.54
2016-02-24,42.14,5.98,0.55
2016-02-25,42.32,6.01,0.55
2016-02-26,42.2,6.0,0.55
2016-02-29,42.21,6.0,0.55
2016-03-01,42.69,6.07,0.54
2016-03-02,42.63,6.06,0.54
2016-03-03,43.47,6.18,0.53
2016-03-04,43.61,6.2,0.53
2016-03-08,43.73,6.21,0.53
2016-03-09,43.85,6.23,0.53
2016-03-10,43.93,6.24,0.53
2016-03-11,44.2,6.28,0.52
2016-03-14,44.29,6.29,0.52
2016-03-15,42.81,6.08,0.54
2016-03-16,43.02,6.11,0.54
2016-03-17,42.44,6.03,0.54
2016-03-18,41.92,5.96,0.55
2016-03-21,42.47,6.03,0.54
2016-03-22,42.4,6.02,0.54
2016-03-23,42.33,6.01,0.55
2016-03-28,41.42,5.89,0.56
2016-03-29,40.31,5.73,0.57
2016-03-30,41.24,5.86,0.56
2016-03-31,41.53,5.9,0.56
2016-04-01,41.3,5.87,0.56
2016-04-04,41.49,5.9,0.56
2016-04-05,41.11,5.84,0.56
2016-04-06,41.22,5.86,0.56
2016-04-07,41.52,5.9,0.56
2016-04-08,41.62,5.91,0.56
2016-04-11,41.67,5.92,0.55
2016-04-12,42.08,5.98,0.55
2016-04-13,42.43,6.03,0.54
2016-04-18,42.78,6.08,0.54
2016-04-20,42.59,6.05,0.54
2016-04-21,42.79,6.08,0.54
2016-04-22,42.66,6.06,0.54
2016-04-25,42.28,6.01,0.55
2016-04-26,42.69,6.07,0.54
2016-04-27,42.6,6.05,0.54
2016-04-28,42.25,6.0,0.55
2016-04-29,42.68,6.06,0.54
2016-05-02,42.6,6.05,0.54
2016-05-03,42.14,5.99,0.55
2016-05-04,42.26,6.0,0.55
2016-05-05,42.46,6.03,0.54
2016-05-06,42.03,5.97,0.55
2016-05-09,42.27,6.01,0.55
2016-05-10,42.58,6.05,0.54
2016-05-11,42.28,6.01,0.55
2016-05-12,42.58,6.05,0.54
2016-05-13,42.17,5.99,0.55
2016-05-16,45.49,6.02,0.55
2016-05-17,45.72,6.04,0.54
2016-05-18,45.8,6.05,0.54
2016-05-19,45.7,6.04,0.54
2016-05-20,42.94,5.94,0.55
2016-05-23,42.52,5.88,0.56
2016-05-24,42.1,5.83,0.56
2016-05-25,43.14,5.86,0.56
2016-05-26,43.03,5.84,0.56
2016-05-27,44.31,6.02,0.55
2016-05-30,43.86,6.0,0.55
2016-05-31,42.48,5.91,0.56
2016-06-01,42.34,5.88,0.56
2016-06-02,42.12,5.86,0.56
2016-06-03,41.76,5.8,0.57
2016-06-06,41.26,5.74,0.57
2016-06-07,41.49,5.77,0.57
2016-06-08,41.41,5.76,0.57
2016-06-09,41.21,5.73,0.57
2016-06-10,41.18,5.72,0.57
2016-06-13,41.37,5.75,0.57
2016-06-14,41.66,5.79,0.57
2016-06-15,41.69,5.8,0.57
2016-06-16,41.58,5.78,0.57
2016-06-17,41.16,5.72,0.57
2016-06-20,41.29,5.74,0.57
2016-06-21,41.06,5.71,0.58
2016-06-22,41.33,5.74,0.57
2016-06-23,41.7,5.8,0.57
2016-06-24,41.53,5.77,0.57
2016-06-27,42.36,5.89,0.56
2016-06-28,42.64,5.93,0.55
2016-06-29,42.83,5.95,0.55
2016-06-30,43.05,5.98,0.55
2016-07-01,43.47,6.04,0.54
2016-07-04,43.74,6.08,0.54
2016-07-05,43.9,6.1,0.54
2016-07-07,44.54,6.19,0.53
2016-07-08,44.7,6.21,0.53
2016-07-11,45.38,6.31,0.52
2016-07-12,45.13,6.27,0.52
2016-07-13,44.97,6.25,0.53
2016-07-14,44.78,6.22,0.53
2016-07-15,44.85,6.23,0.53
2016-07-18,44.65,6.21,0.53
2016-07-19,45.0,6.26,0.52
2016-07-20,46.08,6.4,0.51
2016-07-21,45.67,6.35,0.52
2016-07-22,45.65,6.35,0.52
2016-07-25,45.86,6.21,0.52
2016-07-26,45.17,5.9,0.52
2016-07-27,44.7,5.84,0.52
2016-07-28,44.88,5.86,0.52
2016-07-29,45.2,5.9,0.51
2016-08-01,45.15,5.9,0.51
2016-08-02,44.7,5.84,0.52
2016-08-03,44.64,5.83,0.52
2016-08-04,44.79,5.85,0.52
2016-08-05,45.12,5.89,0.51
