date,pe,pb,div_yield
2016-04-01,86.86,1.35,1.2
2016-04-04,82.83,1.36,1.19
2016-04-05,81.38,1.34,1.21
2016-04-06,82.37,1.35,1.2
2016-04-07,82.1,1.35,1.2
2016-04-08,82.76,1.36,1.19
2016-04-11,83.34,1.37,1.18
2016-04-12,84.22,1.38,1.17
2016-04-13,85.13,1.4,1.16
2016-04-18,91.19,1.41,1.15
2016-04-20,92.89,1.42,1.14
2016-04-21,87.4,1.42,1.14
2016-04-22,86.2,1.42,1.14
2016-04-25,90.51,1.41,1.15
2016-04-26,90.94,1.42,1.14
2016-04-27,91.16,1.42,1.14
2016-04-28,90.17,1.41,1.15
2016-04-29,93.33,1.42,1.16
2016-05-02,93.32,1.42,1.15
2016-05-03,93.18,1.42,1.15
2016-05-04,91.97,1.4,1.17
2016-05-05,90.8,1.4,1.17
2016-05-06,91.62,1.4,1.17
2016-05-09,92.49,1.42,1.15
2016-05-10,92.6,1.42,1.15
2016-05-11,95.32,1.42,1.15
2016-05-12,96.24,1.43,1.14
2016-05-13,95.08,1.43,1.14
2016-05-16,92.24,1.43,1.15
2016-05-17,90.33,1.43,1.14
2016-05-18,87.51,1.44,1.14
2016-05-19,89.81,1.42,1.15
2016-05-20,89.46,1.4,1.16
2016-05-23,89.59,1.4,1.17
2016-05-24,90.29,1.38,1.18
2016-05-25,94.55,1.4,1.17
2016-05-26,94.7,1.41,1.16
2016-05-27,79.72,1.41,1.16
2016-05-30,113.22,1.42,1.15
2016-05-31,109.07,1.42,1.15
2016-06-01,306.59,1.42,1.15
2016-06-02,,1.43,1.15
2016-06-03,,1.42,1.15
2016-06-06,,1.43,1.15
2016-06-07,3202.45,1.44,1.14
2016-06-08,3236.47,1.45,1.12
2016-06-09,3239.64,1.45,1.12
2016-06-10,3241.32,1.45,1.11
2016-06-13,6239.42,1.45,1.11
2016-06-14,6277.06,1.46,1.1
2016-06-15,5378.34,1.48,1.09
2016-06-16,5358.36,1.47,1.1
2016-06-17,5396.91,1.48,1.08
2016-06-20,5407.02,1.48,1.08
2016-06-21,5424.94,1.49,1.07
2016-06-22,5392.86,1.48,1.08
2016-06-23,5382.84,1.47,1.08
2016-06-24,5284.67,1.45,1.07
2016-06-27,5394.0,1.48,1.05
2016-06-28,1926.39,1.49,1.04
2016-06-29,1958.26,1.51,1.02
2016-06-30,1979.15,1.53,1.01
2016-07-01,1994.24,1.54,1.0
2016-07-04,2017.29,1.56,0.99
2016-07-05,2021.53,1.56,0.99
2016-07-07,2023.9,1.56,0.99
2016-07-08,2014.01,1.55,0.99
2016-07-11,2030.86,1.57,0.99
2016-07-12,1653.22,1.57,0.99
2016-07-13,1637.77,1.55,0.99
2016-07-14,1658.92,1.57,0.99
2016-07-15,1530.54,1.56,0.99
2016-07-18,1524.03,1.55,1.0
2016-07-19,1523.91,1.55,1.0
2016-07-20,1538.33,1.56,0.99
2016-07-21,1537.08,1.56,0.99
2016-07-22,1543.21,1.57,0.99
2016-07-25,2161.35,1.58,1.01
2016-07-26,2149.61,1.56,1.0
2016-07-27,2158.9,1.56,1.0
2016-07-28,44711.18,1.57,0.99
2016-07-29,44692.09,1.56,0.99
2016-08-01,44633.67,1.56,1.0
2016-08-02,44218.93,1.54,1.01
2016-08-03,43740.36,1.53,1.02
2016-08-04,43843.54,1.53,1.01
2016-08-05,44505.58,1.55,1.0
2016-08-08,38241.95,1.57,0.99
2016-08-09,38101.95,1.56,0.99
2016-08-10,37617.81,1.54,1.01
2016-08-11,37561.85,1.53,1.05
2016-08-12,37546.59,1.54,1.05
2016-08-16,37548.45,1.54,1.05
2016-08-17,37880.65,1.55,1.04
2016-08-18,38361.13,1.57,1.02
2016-08-19,38573.37,1.57,1.02
2016-08-22,38546.16,1.57,1.02
2016-08-23,,1.57,1.02
2016-08-24,,1.58,1.02
2016-08-25,,1.58,1.02
2016-08-26,,1.57,1.02
2016-08-29,,1.57,1.01
2016-08-30,,1.58,1.01
2016-08-31,,1.59,1.0
2016-09-01,,1.57,1.01
2016-09-02,,1.58,1.01
2016-09-06,,1.6,1.0
2016-09-07,,1.6,0.99
2016-09-08,,1.62,0.98
2016-09-09,,1.62,0.99
2016-09-12,,1.57,1.02
2016-09-14,,1.59,1.0
2016-09-15,,1.6,1.0
2016-09-16,,1.6,0.94
2016-09-19,,1.62,0.94
2016-09-20,,1.62,0.94
2016-09-21,,1.62,0.94
2016-09-22,,1.64,0.93
2016-09-23,,1.63,0.93
2016-09-26,,1.62,0.94
2016-09-27,,1.62,0.95
2016-09-28,,1.63,0.94
2016-09-29,,1.56,0.98
2016-09-30,,1.58,0.87
2016-10-03,,1.62,0.85
2016-10-04,,1.63,0.84
2016-10-05,34089.55,1.65,0.84
2016-10-06,,1.64,0.84
2016-10-07,,1.63,0.84
2016-10-10,,1.64,0.84
2016-10-13,6577.3,1.63,0.85
2016-10-14,6101.18,1.64,0.85
2016-10-17,,1.64,0.85
2016-10-18,,1.66,0.84
2016-10-19,6169.87,1.67,0.84
2016-10-20,,1.7,0.82
2016-10-21,,1.7,0.82
2016-10-24,,1.72,0.81
2016-10-25,,1.72,0.81
2016-10-26,,1.7,0.82
2016-10-27,,1.69,0.82
2016-10-28,,1.7,0.82
2016-10-30,,1.71,0.81
2016-11-01,,1.71,0.81
2016-11-02,,1.68,0.83
2016-11-03,,1.66,0.84
2016-11-04,,1.63,0.85
2016-11-07,,1.65,0.84
2016-11-08,,1.65,0.84
2016-11-09,,1.61,0.87
2016-11-10,,1.63,0.85
2016-11-11,,1.57,0.88
2016-11-15,,1.5,0.93
2016-11-16,,1.5,0.93
2016-11-17,,1.49,0.93
2016-11-18,,1.5,0.93
2016-11-21,,1.45,0.96
2016-11-22,,1.46,0.95
2016-11-23,,1.49,0.94
2016-11-24,,1.49,0.94
2016-11-25,,1.52,0.92
2016-11-28,,1.54,0.91
2016-11-29,,1.55,0.9
2016-11-30,,1.57,0.89
2016-12-01,,1.56,0.9
2016-12-02,,1.54,0.91
2016-12-05,,1.54,0.91
2016-12-06,,1.54,0.91
2016-12-07,,1.54,0.91
2016-12-08,,1.55,0.9
2016-12-09,,1.56,0.89
2016-12-12,,1.55,0.9
2016-12-13,,1.55,0.9
2016-12-14,,1.54,0.91
2016-12-15,,1.54,0.91
2016-12-16,,1.54,0.91
2016-12-19,,1.53,0.91
2016-12-20,,1.52,0.92
2016-12-21,,1.52,0.92
2016-12-22,,1.5,0.93
2016-12-23,,1.5,0.93
2016-12-26,,1.46,0.95
2016-12-27,,1.49,0.94
2016-12-28,,1.5,0.93
2016-12-29,,1.51,0.93
2016-12-30,,1.53,0.92
2017-01-02,,1.55,0.9
2017-01-03,,1.57,0.89
2017-01-04,,1.58,0.89
2017-01-05,,1.59,0.88
2017-01-06,,1.58,0.88
2017-01-09,,1.59,0.88
2017-01-10,,1.61,0.87
2017-01-11,,1.62,0.86
2017-01-12,,1.62,0.86
2017-01-13,,1.62,0.86
2017-01-16,,1.63,0.86
2017-01-17,,1.64,0.86
2017-01-18,,1.64,0.85
2017-01-19,,1.65,0.85
2017-01-20,,1.62,0.86
2017-01-23,,1.64,0.85
2017-01-24,,1.65,0.85
2017-01-25,,1.67,0.84
2017-01-27,,1.68,0.83
2017-01-30,,1.68,0.83
2017-01-31,,1.66,0.84
2017-02-01,,1.69,0.83
2017-02-02,,1.71,0.82
2017-02-03,,1.73,0.81
2017-02-06,,1.75,0.8
2017-02-07,,1.75,0.8
2017-02-08,,1.76,0.8
2017-02-09,,1.76,0.79
2017-02-10,,1.76,0.8
2017-02-13,,1.74,0.81
2017-02-14,,1.73,0.82
2017-02-15,,1.7,0.83
2017-02-16,,1.72,0.82
2017-02-17,,1.74,0.81
2017-02-20,,1.75,0.81
2017-02-21,,1.76,0.8
2017-02-22,,1.75,0.81
2017-02-23,,1.75,0.81
2017-02-27,,1.76,0.8
2017-02-28,,1.78,0.8
2017-03-01,,1.79,0.79
2017-03-02,,1.77,0.8
2017-03-03,,1.77,0.8
2017-03-06,,1.78,0.79
2017-03-07,,1.78,0.79
2017-03-08,,1.77,0.8
2017-03-09,,1.77,0.8
2017-03-10,,1.77,0.8
2017-03-14,,1.78,0.78
2017-03-15,,1.79,0.78
2017-03-16,,1.86,0.76
2017-03-17,,1.85,0.76
2017-03-20,,1.86,0.76
2017-03-21,,1.86,0.76
2017-03-22,,1.84,0.76
2017-03-23,,1.86,0.76
2017-03-24,,1.87,0.75
2017-03-27,,1.86,0.75
2017-03-28,,1.87,0.75
2017-03-29,,1.88,0.75
2017-03-30,,1.89,0.74
2017-03-31,99.48,2.02,0.73
2017-04-03,100.8,2.05,0.72
2017-04-05,102.05,2.07,0.71
2017-04-06,101.69,2.07,0.72
2017-04-07,100.88,2.05,0.72
2017-04-10,101.6,2.06,0.72
2017-04-11,102.84,2.09,0.71
2017-04-12,102.35,2.08,0.71
2017-04-13,102.56,2.08,0.71
2017-04-17,103.14,2.1,0.71
2017-04-18,102.17,2.08,0.71
2017-04-19,103.14,2.1,0.71
2017-04-20,104.7,2.13,0.7
2017-04-21,105.33,2.14,0.69
2017-04-24,106.36,2.17,0.68
2017-04-25,107.0,2.18,0.68
2017-04-26,105.91,2.16,0.69
2017-04-27,105.98,2.16,0.69
2017-04-28,106.67,2.17,0.68
2017-05-02,107.0,2.18,0.68
2017-05-03,107.25,2.18,0.68
2017-05-04,107.6,2.19,0.67
2017-05-05,106.4,2.17,0.68
2017-05-08,107.35,2.19,0.68
2017-05-09,108.0,2.2,0.67
2017-05-10,108.88,2.22,0.67
2017-05-11,108.74,2.21,0.67
2017-05-12,108.92,2.2,0.67
2017-05-15,109.84,2.22,0.67
2017-05-16,110.91,2.24,0.66
2017-05-17,125.12,2.23,0.66
2017-05-18,122.06,2.19,0.68
2017-05-19,121.05,2.17,0.68
2017-05-22,119.45,2.14,0.69
2017-05-23,115.8,2.09,0.71
2017-05-24,111.29,2.06,0.72
2017-05-25,116.31,2.1,0.7
2017-05-26,118.32,2.14,0.69
2017-05-29,105.2,2.1,0.7
2017-05-30,84.85,2.11,0.7
2017-05-31,85.93,2.13,0.69
2017-06-01,86.71,2.15,0.68
2017-06-02,88.39,2.17,0.68
2017-06-05,87.76,2.18,0.67
2017-06-06,86.62,2.16,0.68
2017-06-07,86.56,2.17,0.67
2017-06-08,89.06,2.18,0.67
2017-06-09,90.44,2.19,0.67
2017-06-12,90.3,2.18,0.67
2017-06-13,88.42,2.19,0.67
2017-06-14,89.22,2.19,0.67
2017-06-15,87.8,2.2,0.67
2017-06-16,93.77,2.21,0.65
2017-06-19,107.68,2.21,0.65
2017-06-20,107.49,2.21,0.65
2017-06-21,107.4,2.21,0.65
2017-06-22,106.67,2.2,0.65
2017-06-23,107.47,2.16,0.66
2017-06-27,105.59,2.12,0.67
2017-06-28,105.77,2.13,0.67
2017-06-29,106.82,2.15,0.66
2017-06-30,107.21,2.14,0.63
2017-07-03,108.48,2.17,0.63
2017-07-04,108.39,2.17,0.63
2017-07-05,109.61,2.19,0.62
2017-07-06,110.01,2.2,0.62
2017-07-07,110.35,2.2,0.62
2017-07-10,110.33,2.21,0.61
2017-07-11,109.48,2.2,0.62
2017-07-12,110.39,2.21,0.61
2017-07-13,110.83,2.22,0.61
2017-07-14,110.37,2.21,0.61
2017-07-17,109.85,2.22,0.61
2017-07-18,109.2,2.18,0.57
2017-07-19,110.38,2.2,0.54
2017-07-20,110.49,2.2,0.54
2017-07-21,110.79,2.2,0.54
2017-07-24,110.96,2.2,0.54
2017-07-25,111.0,2.2,0.54
2017-07-26,111.68,2.21,0.54
2017-07-27,109.85,2.19,0.54
2017-07-28,118.12,2.2,0.53
2017-07-31,117.96,2.2,0.53
2017-08-01,116.48,2.2,0.53
2017-08-02,116.7,2.19,0.53
2017-08-03,115.43,2.17,0.53
2017-08-04,114.1,2.17,0.53
2017-08-07,110.09,2.19,0.53
2017-08-08,108.48,2.15,0.54
2017-08-09,106.39,2.12,0.55
2017-08-10,102.23,2.04,0.57
2017-08-11,102.07,2.03,0.57
2017-08-14,104.56,2.08,0.55
2017-08-16,105.95,2.11,0.55
2017-08-17,106.63,2.12,0.54
2017-08-18,105.52,2.11,0.55
2017-08-21,109.92,2.08,0.55
2017-08-22,111.05,2.07,0.56
2017-08-23,112.47,2.1,0.55
2017-08-24,116.46,2.11,0.54
2017-08-28,120.72,2.14,0.53
2017-08-29,119.19,2.11,0.54
2017-08-30,120.93,2.14,0.53
2017-08-31,121.73,2.16,0.53
2017-09-01,116.85,2.18,0.52
2017-09-04,115.99,2.16,0.53
2017-09-05,97.49,2.18,0.52
2017-09-06,97.91,2.19,0.52
2017-09-07,101.07,2.2,0.52
2017-09-08,100.89,2.2,0.51
2017-09-11,101.19,2.2,0.5
2017-09-12,101.22,2.23,0.5
2017-09-13,100.45,2.22,0.5
2017-09-14,100.67,2.23,0.5
2017-09-15,100.77,2.23,0.5
2017-09-18,101.67,2.25,0.5
2017-09-19,102.2,2.26,0.49
2017-09-20,102.41,2.25,0.49
2017-09-21,104.05,2.24,0.5
2017-09-22,100.85,2.17,0.51
2017-09-25,98.97,2.12,0.52
2017-09-26,99.64,2.14,0.52
2017-09-27,112.85,2.1,0.53
2017-09-28,113.67,2.11,0.53
2017-09-29,68.97,2.12,0.53
2017-10-03,69.24,2.13,0.53
2017-10-04,69.77,2.14,0.52
2017-10-05,69.92,2.16,0.52
2017-10-06,71.18,2.18,0.5
2017-10-09,71.59,2.19,0.5
2017-10-10,72.16,2.21,0.49
2017-10-11,72.65,2.18,0.5
2017-10-12,74.07,2.21,0.49
2017-10-13,74.4,2.22,0.49
2017-10-16,76.18,2.27,0.47
2017-10-17,76.73,2.29,0.47
2017-10-18,76.66,2.29,0.47
2017-10-19,76.73,2.29,0.47
2017-10-23,76.65,2.3,0.46
2017-10-24,77.49,2.31,0.46
2017-10-25,77.63,2.32,0.46
2017-10-26,78.25,2.33,0.46
2017-10-27,77.99,2.34,0.46
2017-10-30,82.26,2.36,0.45
2017-10-31,82.32,2.32,0.43
2017-11-01,82.41,2.33,0.42
2017-11-02,82.52,2.34,0.42
2017-11-03,82.6,2.35,0.42
2017-11-06,84.46,2.36,0.42
2017-11-07,83.11,2.33,0.42
2017-11-08,78.82,2.31,0.43
2017-11-09,76.65,2.32,0.43
2017-11-10,86.77,2.36,0.42
2017-11-13,86.01,2.35,0.42
2017-11-14,87.15,2.35,0.42
2017-11-15,85.75,2.31,0.42
2017-11-16,86.47,2.33,0.42
2017-11-17,87.1,2.34,0.41
2017-11-20,88.37,2.36,0.41
2017-11-21,84.97,2.36,0.4
2017-11-22,85.7,2.37,0.4
2017-11-23,86.35,2.38,0.4
2017-11-24,89.14,2.39,0.4
2017-11-27,89.25,2.41,0.4
2017-11-28,89.49,2.42,0.4
2017-11-29,89.45,2.41,0.4
2017-11-30,89.55,2.41,0.39
2017-12-01,88.28,2.38,0.4
2017-12-04,87.62,2.36,0.4
2017-12-05,87.64,2.36,0.4
2017-12-06,87.2,2.35,0.4
2017-12-07,88.37,2.38,0.4
2017-12-08,89.26,2.41,0.39
2017-12-11,89.31,2.41,0.39
2017-12-12,88.38,2.39,0.39
2017-12-13,87.66,2.37,0.4
2017-12-14,87.16,2.37,0.4
2017-12-15,88.35,2.41,0.39
2017-12-18,88.61,2.41,0.39
2017-12-19,90.21,2.46,0.38
2017-12-20,90.96,2.48,0.38
2017-12-21,90.2,2.5,0.38
2017-12-22,90.75,2.52,0.37
2017-12-26,91.42,2.54,0.37
2017-12-27,90.94,2.52,0.37
2017-12-28,91.5,2.53,0.37
2017-12-29,92.89,2.54,0.37
2018-01-01,93.38,2.55,0.37
2018-01-02,92.72,2.54,0.37
2018-01-03,93.52,2.56,0.37
