date,pe
2010-01-04,17.55
2010-01-05,17.91
2010-01-06,18.01
2010-01-07,17.89
2010-01-08,17.91
2010-01-11,18.0
2010-01-12,17.8
2010-01-13,17.99
2010-01-14,18.18
2010-01-15,18.24
2010-01-18,18.26
2010-01-19,18.05
2010-01-20,17.78
2010-01-21,17.29
2010-01-22,17.12
2010-01-25,16.12
2010-01-27,15.44
2010-01-28,15.51
2010-01-29,14.57
2010-02-01,14.83
2010-02-02,14.64
2010-02-03,14.99
2010-02-04,14.6
2010-02-05,14.85
2010-02-06,15.03
2010-02-08,15.06
2010-02-09,15.21
2010-02-10,15.11
2010-02-11,15.26
2010-02-15,15.22
2010-02-16,15.37
2010-02-17,15.55
2010-02-18,15.46
2010-02-19,15.2
2010-02-22,15.09
2010-02-23,15.01
2010-02-24,14.98
2010-02-25,14.87
2010-02-26,15.4
2010-03-02,15.76
2010-03-03,16.01
2010-03-04,16.17
2010-03-05,16.33
2010-03-08,16.42
2010-03-09,16.25
2010-03-10,16.2
2010-03-11,16.2
2010-03-12,16.18
2010-03-15,16.11
2010-03-16,16.28
2010-03-17,16.36
2010-03-18,16.43
2010-03-19,16.45
2010-03-22,16.33
2010-03-23,16.45
2010-03-25,16.39
2010-03-26,16.54
2010-03-29,16.53
2010-03-30,16.49
2010-03-31,16.53
2010-04-01,16.67
2010-04-05,16.94
2010-04-06,17.02
2010-04-07,17.06
2010-04-08,16.95
2010-04-09,17.16
2010-04-12,17.11
2010-04-13,17.08
2010-04-15,17.03
2010-04-16,16.98
2010-04-19,16.8
2010-04-20,17.05
2010-04-21,17.15
2010-04-22,17.11
2010-04-23,17.16
2010-04-26,17.27
2010-04-27,17.27
2010-04-28,17.08
2010-04-29,17.25
2010-04-30,17.42
2010-05-03,17.37
2010-05-04,16.98
2010-05-05,17.13
2010-05-06,17.06
2010-05-07,16.51
2010-05-10,16.86
2010-05-11,16.67
2010-05-12,16.72
2010-05-13,16.91
2010-05-14,17.23
2010-05-17,17.16
2010-05-18,17.16
2010-05-19,16.61
2010-05-20,16.61
2010-05-21,16.43
2010-05-24,16.47
2010-05-25,15.93
2010-05-26,16.15
2010-05-27,16.3
2010-05-28,16.89
2010-05-31,17.05
2010-06-01,16.77
2010-06-02,16.93
2010-06-03,17.19
2010-06-04,17.28
2010-06-07,17.02
2010-06-08,16.87
2010-06-09,16.97
2010-06-10,17.24
2010-06-11,17.07
2010-06-14,17.27
2010-06-15,17.39
2010-06-16,17.4
2010-06-17,17.44
2010-06-18,17.3
2010-06-21,17.58
2010-06-22,17.47
2010-06-23,17.53
2010-06-24,17.57
2010-06-25,17.47
2010-06-28,17.68
2010-06-29,17.53
2010-06-30,17.61
2010-07-01,17.47
2010-07-02,17.43
2010-07-05,17.33
2010-07-06,17.46
2010-07-07,17.43
2010-07-08,17.58
2010-07-09,17.74
2010-07-12,17.77
2010-07-13,17.89
2010-07-14,17.78
2010-07-15,17.75
2010-07-16,17.81
2010-07-19,17.87
2010-07-20,17.84
2010-07-21,17.97
2010-07-22,18.03
2010-07-23,17.98
2010-07-26,17.68
2010-07-27,17.71
2010-07-28,17.7
2010-07-29,17.63
2010-07-30,17.66
2010-08-02,17.71
2010-08-03,17.76
2010-08-04,17.71
2010-08-05,17.66
2010-08-06,17.66
2010-08-09,18.14
2010-08-10,18.04
2010-08-11,17.83
2010-08-12,17.81
2010-08-13,18.04
2010-08-16,18.47
2010-08-17,18.48
2010-08-18,18.69
2010-08-19,18.85
2010-08-20,18.79
2010-08-23,18.97
2010-08-24,18.87
2010-08-25,18.7
2010-08-26,18.61
2010-08-27,18.42
2010-08-30,18.43
2010-08-31,18.33
2010-09-01,18.62
2010-09-02,18.77
2010-09-03,18.93
2010-09-06,19.19
2010-09-07,19.2
2010-09-08,19.23
2010-09-09,19.38
2010-09-13,20.46
2010-09-14,20.32
2010-09-15,20.34
2010-09-16,20.04
2010-09-17,20.46
2010-09-20,20.64
2010-09-21,20.45
2010-09-22,20.42
2010-09-23,20.46
2010-09-24,20.64
2010-09-27,20.72
2010-09-28,20.74
2010-09-29,20.63
2010-09-30,20.45
2010-10-01,20.89
