date,pe
2018-01-01,93.38
2018-01-02,92.72
2018-01-03,93.52
2018-01-04,94.3
2018-01-05,95.17
2018-01-08,96.04
2018-01-09,96.12
2018-01-10,96.87
2018-01-11,97.38
2018-01-12,97.34
2018-01-15,97.65
2018-01-16,95.31
2018-01-17,95.8
2018-01-18,92.76
2018-01-19,93.34
2018-01-22,93.95
2018-01-23,84.94
2018-01-24,81.07
2018-01-25,80.07
2018-01-29,78.81
2018-01-30,77.74
2018-01-31,76.43
2018-02-01,86.93
2018-02-02,83.69
2018-02-05,92.76
2018-02-06,90.7
2018-02-07,92.45
2018-02-08,94.62
2018-02-09,96.03
2018-02-12,97.72
2018-02-14,100.04
2018-02-15,97.23
2018-02-16,97.27
2018-02-19,96.24
2018-02-20,96.14
2018-02-21,95.79
2018-02-22,95.24
2018-02-23,97.67
2018-02-26,100.41
2018-02-27,99.17
2018-02-28,93.0
2018-03-01,91.9
2018-03-05,91.01
2018-03-06,89.74
2018-03-07,87.69
2018-03-08,88.12
2018-03-09,87.79
2018-03-12,88.17
2018-03-13,79.49
2018-03-14,85.87
2018-03-15,86.72
2018-03-16,86.64
2018-03-19,89.19
2018-03-20,100.65
2018-03-21,101.05
2018-03-22,99.78
2018-03-23,98.16
2018-03-26,98.82
2018-03-27,100.23
2018-03-28,98.94
2018-04-02,116.53
2018-04-03,118.05
2018-04-04,116.88
2018-04-05,119.17
2018-04-06,119.91
2018-04-09,120.14
2018-04-10,120.12
2018-04-11,120.13
2018-04-12,119.79
2018-04-13,120.07
2018-04-16,107.31
2018-04-17,107.53
2018-04-18,107.17
2018-04-19,108.1
2018-04-20,108.18
2018-04-23,101.73
2018-04-24,101.52
2018-04-25,100.37
2018-04-26,100.53
2018-04-27,100.97
2018-04-30,79.64
2018-05-02,78.77
2018-05-03,78.03
2018-05-04,77.84
2018-05-07,78.3
2018-05-08,78.66
2018-05-09,78.48
2018-05-10,77.25
2018-05-11,77.05
2018-05-14,76.2
2018-05-15,75.5
2018-05-16,75.59
2018-05-17,76.15
2018-05-18,74.68
2018-05-21,72.88
2018-05-22,73.72
2018-05-23,73.5
2018-05-24,73.52
2018-05-25,74.49
2018-05-28,84.81
2018-05-29,83.66
2018-05-30,87.91
2018-05-31,89.26
2018-06-01,86.15
2018-06-04,84.02
2018-06-05,81.76
2018-06-06,82.42
2018-06-07,83.7
2018-06-08,83.78
2018-06-11,84.21
2018-06-12,84.52
2018-06-13,85.72
2018-06-14,85.6
2018-06-15,85.07
2018-06-18,78.43
2018-06-19,77.37
2018-06-20,76.82
2018-06-21,75.19
2018-06-22,75.19
2018-06-25,74.59
2018-06-26,101.68
2018-06-27,101.18
2018-06-28,98.82
2018-06-29,87.88
2018-07-02,86.66
2018-07-03,82.3
2018-07-04,100.41
2018-07-05,106.04
2018-07-06,111.9
2018-07-09,106.14
2018-07-10,107.27
2018-07-11,110.27
2018-07-12,110.53
2018-07-13,108.51
2018-07-16,105.33
2018-07-17,106.39
2018-07-18,105.36
2018-07-19,104.45
2018-07-20,104.82
2018-07-23,105.86
2018-07-24,108.28
2018-07-25,108.6
2018-07-26,109.02
2018-07-27,110.13
2018-07-30,110.61
2018-07-31,110.79
2018-08-01,110.9
2018-08-02,111.01
2018-08-03,103.06
2018-08-06,100.01
2018-08-07,99.54
2018-08-08,119.32
2018-08-09,119.96
2018-08-10,118.48
2018-08-13,120.4
2018-08-14,120.84
2018-08-16,120.45
2018-08-17,121.61
2018-08-20,120.77
2018-08-21,121.41
2018-08-23,121.18
2018-08-24,118.37
2018-09-28,63.81
2018-10-01,63.86
2018-10-03,64.17
2018-10-04,62.81
2018-10-05,61.48
2018-10-08,60.34
2018-10-09,60.05
2018-10-10,62.24
2018-10-11,61.15
2018-10-12,62.7
2018-10-15,63.47
2018-10-16,64.45
2018-10-17,63.63
2018-10-19,62.94
2018-10-22,61.78
2018-10-23,60.97
2018-10-24,61.4
2018-10-25,60.77
2018-10-26,60.27
2018-10-29,61.67
2018-10-30,60.93
2018-10-31,61.46
2018-11-01,62.21
2018-11-02,62.9
2018-11-05,62.65
2018-11-06,63.57
2018-11-07,64.28
2018-11-09,64.82
2018-11-12,64.26
2018-11-13,64.26
2018-11-14,64.16
2018-11-15,64.17
2018-11-16,63.99
2018-11-19,64.24
2018-11-20,39.18
2018-11-21,39.51
2018-11-22,44.05
2018-11-26,44.69
2018-11-27,43.92
2018-11-28,42.96
2018-11-29,42.99
2018-11-30,43.14
2018-12-03,41.15
2018-12-04,41.33
2018-12-05,40.77
2018-12-06,40.24
2018-12-07,40.26
2018-12-10,39.32
2018-12-11,39.89
2018-12-12,40.96
2018-12-13,41.27
2018-12-14,41.32
2018-12-17,41.47
2018-12-18,41.73
2018-12-19,42.21
2018-12-20,42.27
2018-12-21,41.87
2018-12-24,41.47
2018-12-26,41.42
2018-12-27,41.5
2018-12-28,42.84
2018-12-31,43.17
2019-01-01,43.33
2019-01-02,43.01
2019-01-03,42.76
2019-01-04,42.83
2019-01-07,42.86
2019-01-08,42.92
2019-01-09,42.87
2019-01-10,42.98
2019-01-11,42.89
2019-01-14,42.7
2019-01-15,43.09
2019-01-16,43.27
2019-01-17,43.05
2019-01-18,42.65
2019-01-21,42.22
2019-01-22,41.94
2019-01-23,41.82
2019-01-24,41.59
2019-01-25,41.05
2019-01-28,41.6
2019-01-29,41.6
2019-01-30,41.85
2019-01-31,42.01
2019-02-01,43.6
2019-02-04,42.93
2019-02-05,42.53
2019-02-06,42.66
2019-02-07,42.86
2019-02-08,42.21
2019-02-11,41.56
2019-02-12,41.81
2019-02-13,41.62
2019-02-14,41.6
2019-02-15,41.26
2019-02-18,40.9
2019-02-19,40.3
2019-02-20,41.49
2019-02-21,41.93
2019-02-22,42.26
2019-02-25,42.59
2019-02-26,42.1
2019-02-27,42.23
2019-02-28,42.4
2019-03-01,43.39
2019-03-05,45.02
2019-03-06,45.4
2019-03-07,45.36
2019-03-08,45.36
2019-03-11,46.21
2019-03-12,46.71
2019-03-13,46.54
2019-03-14,46.52
2019-03-15,46.28
2019-03-18,46.2
2019-03-19,46.4
2019-03-20,46.25
2019-03-22,46.0
2019-03-25,45.48
2019-03-26,45.86
2019-03-27,46.32
2019-03-28,46.67
2019-03-29,34.27
2019-04-01,34.6
2019-04-02,34.57
2019-04-03,34.24
2019-04-04,34.08
2019-04-05,34.39
2019-04-08,34.28
2019-04-09,34.24
2019-04-10,34.25
2019-04-11,34.28
2019-04-12,34.48
2019-04-15,34.64
2019-04-16,34.74
2019-04-18,34.33
2019-04-22,33.82
2019-04-23,33.72
2019-04-24,33.91
2019-04-25,33.91
2019-04-26,33.87
2019-04-30,33.48
2019-05-02,32.26
2019-05-03,32.21
2019-05-06,31.95
2019-05-07,31.68
2019-05-08,31.22
2019-05-09,31.11
2019-05-10,30.84
2019-05-13,29.68
2019-05-14,29.81
2019-05-15,29.56
2019-05-16,29.6
2019-05-17,29.73
2019-05-20,30.79
2019-05-21,30.64
2019-05-22,30.29
2019-05-23,29.84
2019-05-24,30.57
2019-05-27,30.69
2019-05-28,30.78
2019-05-29,32.19
2019-05-30,32.26
2019-05-31,42.89
2019-06-03,42.94
2019-06-04,42.92
2019-06-06,42.22
2019-06-07,42.18
2019-06-10,41.9
2019-06-11,41.97
2019-06-12,41.81
2019-06-13,41.58
2019-06-14,41.32
2019-06-17,40.45
2019-06-18,40.25
2019-06-19,39.7
2019-06-20,40.15
2019-06-21,40.14
2019-06-24,40.12
2019-06-25,40.29
2019-06-26,40.44
2019-06-27,40.76
2019-06-28,34.66
2019-07-01,34.83
2019-07-02,34.78
2019-07-03,34.87
2019-07-04,34.98
2019-07-05,34.53
2019-07-08,33.79
2019-07-09,33.8
2019-07-10,33.56
2019-07-11,33.68
2019-07-12,33.72
2019-07-15,33.44
2019-07-16,33.44
2019-07-17,33.59
2019-07-18,33.24
2019-07-19,32.68
2019-07-22,32.25
2019-07-23,32.38
2019-07-24,31.92
2019-07-25,32.02
2019-07-26,32.07
2019-07-29,31.74
2019-07-30,31.24
2019-07-31,31.25
2019-08-01,30.89
2019-08-02,30.75
2019-08-05,30.18
2019-08-06,30.7
2019-08-07,29.78
2019-08-08,29.86
2019-08-09,29.8
2019-08-13,29.47
2019-08-14,29.72
2019-08-16,29.99
2019-08-19,30.66
2019-08-20,30.51
2019-08-21,29.96
2019-08-22,29.31
2019-08-23,29.49
2019-08-26,30.1
2019-08-27,30.55
2019-08-28,30.37
2019-08-29,30.12
2019-08-30,30.39
2019-09-03,29.94
2019-09-04,29.99
2019-09-05,30.14
2019-09-06,30.47
2019-09-09,30.57
2019-09-11,30.84
